objid,ra,dec,u,g,r,i,z
1.237651758285E+018,270.0659398392,0.073674824073511,24.19571,24.27876,22.71278,21.95841,21.9223
1.237651758285E+018,270.010857490021,0.098607841719394,24.20608,23.28514,21.37293,20.92156,20.7472
1.237651758285E+018,269.99049920109,0.099542063793917,23.48518,22.93679,21.96778,21.31771,20.95518
1.237651758285E+018,270.070526461989,0.071098272126615,24.50758,22.46433,21.71221,20.96908,20.9526
1.237651758285E+018,270.100399819225,-0.000804465381721,24.7467,24.47429,22.34171,21.13253,20.76106
1.237651758285E+018,270.095147712031,0.032757135612674,23.54897,23.61285,22.27999,21.79743,20.41003
1.237651758285E+018,270.083906632842,0.055765400431754,23.39507,22.07889,22.09263,20.75247,22.32974
1.237651758285E+018,270.100256549918,0.01321713335926,25.48125,22.48051,24.66838,24.54806,24.20173
1.23765175828494E+018,269.903895251861,0.031986748645697,23.37891,22.01782,21.03118,20.39191,20.36868
1.23765908925651E+018,270.010757266452,-0.101927308062901,24.44426,23.54757,21.3458,20.24019,21.16843
1.23765175828494E+018,269.902107019533,0.030879678793724,24.31625,22.42928,21.1149,21.6439,21.11435
1.237651758285E+018,270.102910677958,0.004071038983181,23.94848,23.97371,22.53064,22.18351,22.19557
1.237651758285E+018,270.091310804142,0.048517372110779,25.43214,22.60608,21.30359,20.6567,22.33204
1.23765175828493E+018,269.896418362751,0.006008059902316,25.28448,24.48546,22.38274,21.9116,21.76746
1.23765175828494E+018,269.895462970278,0.000622859388867,25.37867,24.18161,22.14907,21.03963,20.80429
1.23765175828493E+018,269.895315202809,0.005694395459433,23.33751,24.59191,21.97341,21.00977,21.32211
1.23765175828494E+018,269.894727201925,0.002105791026765,24.18448,24.87682,22.51211,21.23221,20.08835
1.237651758285E+018,270.019323415689,0.103786605925739,23.58897,23.7937,21.61511,20.44717,19.7891
1.237651758285E+018,270.023632079585,0.10306124683119,25.37396,24.16385,23.17579,21.59345,20.68459
1.23765908925651E+018,270.015832374128,-0.105125068511791,28.87123,28.48346,26.46984,25.9097,18.08091
