designation,RA,December,U_mag,G_mag,R_mag,I_mag,Z_mag,W1mag,W2mag,class
J032853.34+003104.2,52.2222668,0.5178433,18.821,17.89,17.516,17.042,17.067,14.7,13.428,GALAXY
J205450.55-010831.1,313.7106351,-1.1419924,19.331,18.587,18.121,17.715,17.725,15.005,14.034,GALAXY
J205540.56+003559.7,313.9190254,0.5999347,19.798,18.582,17.841,17.354,17.129,14.152,13.294,GALAXY
J211931.10-003051.4,319.8796013,-0.5142952,20.115,19.268,18.427,18.086,17.617,14.32,13.09,GALAXY
J213242.32+011132.0,323.1763431,1.1922258,20.956,18.887,17.746,17.138,16.679,13.24,12.204,GALAXY
J214009.96+004014.9,325.0415319,0.67082,19.99,19.024,18.557,18.147,18.013,14.524,13.487,GALAXY
J214826.38-010928.9,327.1099301,-1.1580316,20.032,19.22,18.67,18.209,18.1,15.009,14.064,GALAXY
J215834.67+000701.1,329.6444799,0.1169871,19.595,18.523,17.894,17.428,17.18,14.061,13.168,GALAXY
J220051.85+010826.5,330.2160674,1.1407015,19.673,18.474,17.809,17.36,17.141,13.77,12.403,GALAXY
J220955.22+011225.4,332.4800903,1.2070632,16.926,16.149,16.023,15.831,15.759,13.613,12.652,GALAXY
J222407.18+002151.4,336.0299547,0.3642822,20.676,18.313,17.106,16.644,16.29,13.433,12.415,GALAXY
J222538.21-005612.2,336.4092286,-0.9367418,19.685,17.698,16.593,15.999,15.518,12.618,11.138,absGAL
J223039.76+005644.0,337.6656726,0.9455677,19.32,18.16,17.576,17.157,16.926,13.161,12.117,GALAXY
J223447.00-000645.6,338.6958503,-0.1126804,20.329,18.458,17.51,17.095,16.837,14.046,12.793,GALAXY
J224226.69+011142.9,340.6112011,1.1952561,17.279,15.855,15.268,14.751,14.361,11.244,10.308,GALAXY
J224227.59-004311.4,340.6149758,-0.7198443,18.641,17.108,16.29,15.842,15.573,12.418,11.633,GALAXY
J224620.97-001744.3,341.5873988,-0.2956395,20.746,18.843,17.867,17.269,16.905,13.497,12.604,GALAXY
J225332.95-002442.8,343.3872957,-0.4119058,17.705,16.409,15.709,15.154,14.876,11.748,10.506,GALAXY
J225906.70-005810.3,344.7779433,-0.9695301,18.621,17.669,17.673,17.198,17.436,15.617,14.514,GALAXY
J230231.14+000147.7,345.6297616,0.0299271,19.598,18.353,17.626,17.081,16.895,14.099,13.099,GALAXY
J230341.23+010236.9,345.9218028,1.0435878,17.013,15.283,14.599,14.212,13.904,11.465,10.429,absGAL
J230703.75+011311.2,346.7656373,1.2197925,18.626,18.292,18.113,17.73,18.053,15.114,14.08,GALAXY
J231223.73-000513.1,348.0988862,-0.0869739,20.649,18.688,17.815,17.317,17.018,14.086,13.049,absGAL
J231846.58+005126.2,349.6940981,0.8572836,19.367,18.042,17.399,16.938,16.706,14.05,12.997,absGAL
J233232.31+002821.1,353.1346599,0.4725285,19.626,18.394,17.924,17.501,17.388,14.761,13.781,GALAXY
J233245.03-005845.8,353.1876297,-0.9794137,17.152,16.368,15.976,15.816,15.658,13.758,12.501,GALAXY
J233622.81-002651.3,354.0950765,-0.4475869,19.956,18.634,17.87,17.381,17.049,14.341,13.608,absGAL
J233917.75-001458.7,354.8239824,-0.2496452,19.381,17.512,16.626,16.188,15.864,13.076,11.935,absGAL
J235030.70-005844.6,357.6279486,-0.9790639,19.587,18.6,17.893,17.579,17.347,14.32,13.216,GALAXY
J235352.50-000555.4,358.4687765,-0.0987473,18.789,17.122,16.413,16.064,15.798,13.601,11.775,absGAL
