ra_u,dec_u,fpeak_u,fint_u,designation,G_mag,R_mag,Jmag,Kmag,spectrum,redshift,Class,JNAME,errHalfMaj,errHalfMin,errPosAng,W1mag,W2mag,W3mag,W4mag,Hmag,RAdeg,DEdeg,errHalfMaj_x,errHalfMin_x,errPosAng_x,objID,mode,q_mode,class_x,SDSS12,m_SDSS12,flags,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,e_zsp,f_zsp,zph,e_zph,avg_zph,pmRA,e_pmRA,pmDE,e_pmDE,SpObjID,spType,spCl,subClass,angDist
157.390839,10.310063,2.62,4.54,J102933.88+101836.0,22.62700080871582,21.190000534057617,18.8,16.982,0,0.0,no_obs,J102933.88+101836.0,0.273,0.25,75.0,15.546,14.96,12.023,8.578,,157.391052,10.310154,0.343,0.134,0.0,1237660669282026246,1,+,3,J102933.85+101836.5,,2450547278080,2002.9528,3,23.337,1.128,22.627,0.296,21.19,0.146,19.76,0.062,19.465,0.178,0.7016,3.1E-4,0,0.69192,0.06003,0.66165,,,,,6013475207540043776,LRG,GALAXY,,0.821331
157.448929,11.295522,3.6,12.39,J102947.84+111744.5,24.13599967956543,22.09000015258789,18.693,16.868,GNIRS,0.0,no_obs,J102947.84+111744.5,0.167,0.155,89.0,15.74,14.708,12.364,8.341,,157.44932,11.29555,0.095,0.089,0.0,1237660670355833626,1,+,3,J102947.83+111743.9,,68988043520,2002.9528,3,25.515,0.668,24.136,0.442,22.09,0.137,20.852,0.07,20.146,0.162,,,,0.83758,0.06029,0.64932,,,,,0,,,,1.38425
157.86882,-1.054225,1.15,1.35,J103128.58-010314.2,22.85300064086914,21.18199920654297,18.494,16.814,0,0.0,no_obs,J103128.58-010314.2,0.524,0.494,84.0,16.16,15.524,12.586,8.971,,157.869001,-1.054128,0.095,0.091,0.0,1237648702955258028,2,,6,J103128.56-010314.8,,35253394739548,1999.2177,3,25.365,0.858,22.483,0.159,21.635,0.109,20.594,0.06,19.993,0.121,,,,,,,,,,,0,,,,0.739621
158.257736,2.056847,53.48,54.22,J103301.87+020324.5,22.71119,21.49479,17.83,16.157,030113,-1.0,?,J103301.87+020324.5,0.242,0.221,80.0,15.171,14.452,11.995,8.494,,158.257787,2.056805,0.076,0.072,0.0,1237653664725598843,2,,3,J103301.86+020324.4,*,68987912960,2000.9158,1,23.07,0.468,22.227,0.13,21.462,0.099,20.413,0.065,19.619,0.125,,,,,,,,,,,0,,,,0.23781
158.823761,3.150556,7.26,7.34,J103517.72+030901.7,23.6435,22.23448,18.805,16.894,0,0.0,no_obs,J103517.72+030901.7,0.315,0.283,67.0,15.577,15.006,12.276,8.914,,158.823791,3.150442,0.102,0.092,90.0,1237651755074781876,1,+,3,J103517.70+030901.5,,281640601518848,2000.3429,3,26.024,0.558,23.644,0.35,22.234,0.16,21.131,0.103,20.697,0.239,,,,0.56637,0.04705,0.5805,,,,,0,,,,0.424975
159.319153,2.211878,17.02,17.87,J103716.59+021243.0,22.99729,21.64673,17.494,15.857,030113,0.77,QSO,J103716.59+021243.0,0.14,0.134,82.0,14.367,13.396,10.997,8.503,,159.31911,2.211891,0.046,0.045,90.0,1237651736284758703,1,,6,J103716.58+021242.8,*,105656464052568,2000.3401,1,23.555,0.742,22.997,0.215,21.647,0.085,20.455,0.042,19.427,0.075,,,,,,,,,,,0,,,,0.160567
159.472565,2.6099,6.67,7.05,J103753.40+023635.4,22.4957,21.57678,18.389,16.485,041514/LRIS051515,2.38,QSO,J103753.40+023635.4,0.297,0.271,82.0,15.678,14.53,11.157,8.381,,159.472531,2.609904,0.062,0.043,90.0,1237654030323286597,2,,6,J103753.40+023635.6,,68987912192,2000.9787,1,23.173,0.462,22.801,0.171,21.445,0.074,20.599,0.052,19.859,0.129,,,,,,,,,,,0,,,,0.121855
160.887039,-1.267992,1.25,1.35,J104332.86-011603.5,21.85300064086914,21.04400062561035,18.343,16.145,0,0.0,no_obs,J104332.86-011603.5,0.108,0.105,74.0,14.237,12.762,9.557,6.974,,160.886882,-1.267747,0.051,0.05,0.0,1237654898998379015,2,,6,J104332.85-011603.8,,35253393555728,2001.2162,1,24.357,1.15,21.904,0.085,20.872,0.053,20.351,0.053,19.882,0.133,,,,,,,,,,,0,,,,1.047061
161.128632,3.283131,1.14,1.2,J104430.93+031657.8,21.972999572753906,20.54599952697754,18.663,16.601,0,0.0,no_obs,J104430.93+031657.8,0.216,0.2,95.0,15.114,14.198,11.626,8.624,,161.128713,3.282766,0.057,0.045,90.0,1237651755075830172,1,+,3,J104430.89+031657.9,,68988043520,2000.3429,3,22.595,0.523,21.973,0.121,20.546,0.054,19.959,0.053,19.387,0.119,,,,0.43348,0.07231,0.42503,,,,,0,,,,1.34751
161.797028,7.200286,1.7,1.03,J104711.35+071200.9,21.613000869750977,20.118999481201172,18.304,16.478,0,0.0,no_obs,J104711.35+071200.9,0.374,0.349,79.0,15.8,15.029,12.276,8.639,,161.797191,7.200317,0.09,0.09,90.0,1237658424091476584,1,,3,J104711.32+071201.1,,35253360136536,2002.1745,3,22.541,0.745,21.613,0.145,20.119,0.055,19.417,0.042,19.062,0.123,,,,0.44487,0.071,0.45136,7.8,5.5,0.3,5.5,0,,,,0.591863
162.577057,2.298025,2.57,4.22,J105018.53+021754.2,22.433000564575195,20.81599998474121,18.806,16.987,GNIRS,0.0,no_obs,J105018.53+021754.2,0.498,0.442,75.0,16.074,15.294,12.448,9.042,,162.577027,2.297985,0.065,0.061,0.0,1237654029787791818,1,+,3,J105018.48+021752.7,*,35253360001808,2000.9788,1,23.355,0.784,22.433,0.179,20.816,0.068,19.976,0.049,19.571,0.143,,,,0.48661,0.05402,0.48996,,,,,0,,,,0.179205
163.220963,4.959728,50.21,72.71,J105253.09+045734.8,29.959999084472656,29.775999069213867,17.479,15.642,0,0.0,no_obs,J105253.09+045734.8,0.146,0.138,89.0,14.347,13.759,11.433,8.805,16.132,163.221227,4.959706,0.399,0.399,90.0,1237654605863977164,1,,3,J105253.09+045734.9,,457465827037460,2001.1401,3,27.31,7.801,29.96,0.822,29.776,0.855,20.002,1.292,18.539,1.159,,,,-9999.0,-9999.0,0.69469,,,,,0,,,,0.951728
165.440521,5.361686,6.11,6.73,J110145.80+052142.7,21.893999099731445,20.92300033569336,18.801,16.865,0,0.0,no_obs,J110145.80+052142.7,0.315,0.29,85.0,15.574,15.068,11.982,8.401,,165.440886,5.36195,0.072,0.07,0.0,1237654606401831322,1,+,3,J110145.81+052143.0,,96972308808,2001.1401,3,22.397,0.318,21.894,0.106,20.923,0.061,19.949,0.039,19.533,0.084,0.65112,5.0E-5,0,0.65898,0.06155,0.65779,70.4,5.4,91.3,5.4,5466365918056214528,LRG,GALAXY,BROADLINE,1.616164
166.079712,4.080811,46.64,54.51,J110419.10+040451.0,22.17947,21.98209,19.037,16.925,050315,-1.0,?,J110419.10+040451.0,0.312,0.284,81.0,15.669,14.916,11.681,8.723,,166.079511,4.080918,0.244,0.155,0.0,1237654600496644622,1,+,3,J110419.08+040451.3,,2450547278080,2001.1398,3,23.877,1.384,22.179,0.157,21.982,0.198,21.239,0.137,20.489,0.231,,,,0.59995,0.23913,0.5503,,,,,0,,,,0.818882
166.38179,7.986556,1.28,0.96,J110531.63+075911.6,23.60688,21.97518,18.594,16.81,041714,-1.0,?,J110531.63+075911.6,0.225,0.211,84.0,15.056,14.554,11.91,8.384,,166.381711,7.986586,0.796,0.111,90.0,1237661972788085548,1,+,3,J110531.61+075911.7,,68988043520,2003.2477,3,25.184,1.483,23.607,0.475,21.975,0.177,21.19,0.117,20.2,0.172,,,,0.58594,0.05592,0.50557,,,,,0,,,,0.302841
168.772186,0.409211,2.43,2.15,J111505.25+002434.2,23.770999908447266,21.35700035095215,18.571,16.843,0,0.0,no_obs,J111505.25+002434.2,0.229,0.21,86.0,15.14,14.608,11.803,8.319,,168.772212,0.409284,0.157,0.133,90.0,1237648721762713885,1,+,3,J111505.33+002433.4,*,35255507620624,1999.2205,3,23.431,0.845,23.771,0.602,21.357,0.121,20.097,0.062,19.532,0.162,,,,0.72423,0.03791,0.61413,,,,,0,,,,0.277373
168.837601,5.924906,1.03,1.11,J111521.11+055528.8,22.593000411987305,21.760000228881836,17.36,15.497,0,0.0,no_obs,J111521.11+055528.8,0.131,0.122,70.0,14.389,13.737,9.8,7.694,15.724,168.837547,5.924562,0.06,0.059,0.0,1237654606940209315,1,,3,J111521.01+055528.4,,105624285348112,2001.1402,3,22.927,0.342,22.593,0.131,21.76,0.098,21.114,0.078,22.272,0.504,,,,-9999.0,-9999.0,0.25781,,,,,0,,,,1.25541
168.882187,7.267437,1.33,0.91,J111531.70+071602.9,24.60187,22.33375,19.038,16.417,041314,-1.0,?,J111531.70+071602.9,0.143,0.135,72.0,14.633,13.339,10.403,8.006,,168.882111,7.267509,0.101,0.092,90.0,1237661971715457784,1,+,3,J111531.70+071603.0,,68987912960,2003.2477,3,23.417,0.651,24.602,0.609,22.334,0.146,21.181,0.073,20.084,0.123,,,,0.94237,0.04744,0.60903,,,,,0,,,,0.377184
169.006882,2.527222,2.24,2.7,J111601.68+023138.9,20.850000381469727,19.222000122070312,17.396,15.63,0,0.0,no_obs,J111601.68+023138.9,0.163,0.15,87.0,14.647,13.986,10.855,8.76,,169.006988,2.527476,0.023,0.02,90.0,1237651754005496364,1,+,3,J111601.67+023138.9,,68987912448,2000.343,3,23.562,1.229,20.85,0.054,19.222,0.021,18.63,0.019,18.114,0.048,,,,0.32369,0.03135,0.33279,5.0,5.5,7.8,5.5,0,,,,0.989081
169.146576,14.676325,1.35,1.09,J111635.17+144033.6,21.54400062561035,20.141000747680664,17.68,15.89,0,0.0,no_obs,J111635.17+144033.6,0.182,0.164,74.0,15.114,14.316,10.334,7.505,,169.146565,14.676083,0.015,0.014,90.0,1237664132095279846,1,+,3,J111635.17+144033.8,,68987912192,2003.9822,3,22.316,0.238,21.544,0.054,20.141,0.025,19.588,0.024,18.978,0.059,,,,0.41169,0.07509,0.40701,,,,,0,,,,0.871231
169.438309,2.765542,1.19,1.67,J111745.14+024554.9,21.792999267578125,20.097999572753906,17.741,15.629,022518,-1.0,?,J111745.14+024554.9,0.164,0.155,76.0,14.704,14.2,10.43,7.879,,169.438053,2.765276,0.047,0.039,0.0,1237654030327677256,1,,3,J111745.13+024554.9,*,193514315059472,2000.9788,1,22.651,0.418,21.793,0.099,20.098,0.035,19.415,0.03,18.852,0.079,,,,0.43169,0.03372,0.41892,-0.9,13.7,36.4,13.7,0,,,,1.328704
170.686752,-1.19065,1.84,2.01,J112244.81-011126.7,23.03593,21.97759,18.595,16.858,GNIRS,0.0,no_obs,J112244.81-011126.7,0.209,0.191,88.0,15.046,14.34,11.731,8.761,,170.686711,-1.190737,0.17,0.16,0.0,1237650372088496871,2,,3,J112244.81-011126.6,,68987912448,2000.1161,3,22.274,0.3,23.886,0.543,21.937,0.156,20.705,0.084,19.976,0.168,,,,,,,,,,,0,,,,0.346875
170.806961,8.810247,1.05,1.38,J112313.61+084835.7,21.437999725341797,20.038000106811523,18.277,16.377,0,0.0,no_obs,J112313.61+084835.7,0.213,0.194,77.0,15.329,14.514,10.397,7.039,,170.806688,8.809893,0.047,0.042,0.0,1237660612900290916,1,+,3,J112313.60+084835.6,,68987912448,2002.9445,3,22.665,0.586,21.438,0.096,20.038,0.043,19.675,0.047,18.99,0.096,,,,0.37888,0.07716,0.38174,21.0,4.6,-27.9,4.6,0,,,,1.600907
171.310181,3.46542,1.19,1.34,J112514.40+032755.9,21.94603,21.11668,18.457,15.946,030213,-1.0,?,J112514.40+032755.9,0.127,0.122,86.0,14.269,13.215,10.623,8.07,,171.310021,3.46551,0.085,0.067,90.0,1237651755080286551,1,+,3,J112514.40+032755.8,,68987912448,2000.343,3,23.074,0.612,21.946,0.098,21.117,0.071,20.179,0.053,19.87,0.152,,,,0.67404,0.05999,0.65403,,,,,0,,,,0.661591
172.47319,2.7532,5.87,7.36,J112953.45+024511.4,22.68400001525879,21.570999145507812,18.457,16.18,0,0.0,no_obs,J112953.45+024511.4,0.11,0.105,95.0,14.102,12.776,9.932,7.544,,172.472724,2.753173,0.095,0.075,90.0,1237651736827396775,2,,3,J112953.45+024511.4,,68988043264,2000.3402,1,22.778,0.721,21.835,0.134,21.007,0.094,19.777,0.047,19.554,0.171,,,,,,,,,,,0,,,,1.677668
172.653824,11.737333,1.12,2.42,J113036.87+114415.7,22.569000244140625,21.086000442504883,19.082,16.931,GNIRS,0.0,no_obs,J113036.87+114415.7,0.306,0.273,76.0,15.696,14.756,10.848,8.757,,172.653689,11.737739,0.24,0.164,90.0,1237661949175530082,1,+,3,J113036.88+114415.8,,68987912448,2003.2449,3,22.848,0.763,22.569,0.274,21.086,0.104,20.445,0.08,19.929,0.178,,,,0.43591,0.07459,0.43435,,,,,0,,,,1.538318
172.728729,-1.816619,1.11,1.55,J113054.88-014901.0,21.986000061035156,20.349000930786133,18.79,16.894,GNIRS,0.0,no_obs,J113054.88-014901.0,0.408,0.372,69.0,15.974,15.289,12.268,9.112,,172.728698,-1.816933,0.071,0.055,90.0,1237650762387358233,1,+,3,J113054.88-014900.9,*,68988043520,2000.1709,3,24.047,1.211,21.986,0.118,20.349,0.045,19.794,0.042,19.581,0.117,,,,0.36282,0.05966,0.36079,-21.2,16.0,21.9,16.0,0,,,,1.134389
173.24382,9.505503,1.66,2.96,J113258.45+093020.2,21.95199966430664,20.354000091552734,18.561,16.804,0,0.0,no_obs,J113258.45+093020.2,0.305,0.278,80.0,15.424,14.854,12.64,9.074,,173.243553,9.505635,0.077,0.059,90.0,1237658492276441588,1,+,3,J113258.45+093020.2,,35253360001296,2002.1938,3,24.432,1.922,21.952,0.155,20.354,0.056,19.592,0.038,19.118,0.091,,,,0.43078,0.04022,0.44376,,,,,0,,,,1.060152
173.290253,0.759139,1.93,2.3,J113309.64+004531.8,22.43400001525879,21.975000381469727,18.77,16.183,0,0.0,no_obs,J113309.64+004531.8,0.128,0.12,64.0,14.624,12.989,9.679,7.301,,173.290252,0.758847,0.143,0.086,90.0,1237660778253124098,2,,3,J113309.66+004531.8,,281709320864512,2002.9994,3,22.786,0.443,22.474,0.179,22.166,0.179,21.921,0.274,22.265,0.864,,,,,,,,,,,0,,,,1.052504
173.806488,5.552222,1.96,2.72,J113513.55+053308.2,23.50839,22.79906,18.684,16.329,041414,1.27,QSO,J113513.55+053308.2,0.164,0.148,75.0,14.902,13.451,10.535,8.071,,173.806479,5.552217,0.106,0.104,0.0,1237654606405501988,1,,3,J113513.55+053307.9,,281543964623104,2001.1402,3,24.079,0.943,23.508,0.35,22.799,0.274,21.656,0.147,20.629,0.189,,,,0.20609,0.15404,0.67316,,,,,0,,,,0.036991
173.865463,-1.022078,1.04,1.49,J113527.71-010120.8,21.892000198364258,20.36199951171875,18.151,16.119,0,0.0,no_obs,J113527.71-010120.8,0.221,0.201,86.0,15.131,14.606,10.622,8.169,,173.865394,-1.022502,0.05,0.046,90.0,1237648672890880330,2,,3,J113527.69-010121.0,*,35253360136976,1999.2151,3,25.944,0.75,22.145,0.14,20.426,0.045,19.947,0.046,19.401,0.105,,,,,,,,,,,0,,,,1.545228
174.10997,-0.894206,11.05,11.84,J113626.39-005339.5,23.47608,22.77537,18.166,16.472,041514,0.673,QSO,J113626.39-005339.5,0.163,0.154,79.0,14.915,13.777,10.534,7.789,,174.109994,-0.894258,0.053,0.049,90.0,1237660776106033442,2,,6,J113626.39-005339.3,*,193583068087128,2002.9995,1,23.198,0.739,21.623,0.122,20.797,0.06,20.28,0.059,19.801,0.147,,,,,,,,,,,0,,,,0.207353
175.452942,13.945811,6.0,6.44,J114148.67+135644.9,22.45922,21.54399,18.066,16.022,030213,0.82,QSO,J114148.67+135644.9,0.117,0.112,76.0,14.246,12.933,10.145,7.79,,175.452824,13.945789,0.053,0.05,90.0,1237664289387512348,1,+,6,J114148.67+135644.8,,68987912704,2004.075,3,23.04,0.349,22.459,0.121,21.544,0.072,20.608,0.045,19.794,0.073,0.81964,2.1E-4,0,,,,,,,,6055146974452838400,QSO,QSO,,0.418779
177.056,1.165597,45.29,75.32,J114813.48+010956.9,22.405000686645508,20.753000259399414,18.623,16.736,0,0.0,no_obs,J114813.48+010956.9,0.398,0.363,87.0,15.904,15.257,12.322,8.768,,177.056094,1.165737,0.043,0.043,90.0,1237674598384796127,2,,3,J114813.46+010956.6,*,68987912960,2007.286,3,22.254,0.327,22.169,0.135,20.592,0.049,19.821,0.04,19.333,0.11,,,,,,,,,,,0,,,,0.606879
177.864624,14.740335,2.96,2.84,J115127.50+144425.4,24.17564,21.90653,18.748,16.753,041514,-1.0,NLAGN?no_obs,J115127.50+144425.4,0.223,0.205,86.0,15.176,14.205,11.784,8.467,,177.864667,14.740389,0.182,0.162,90.0,1237664131562078737,2,,3,J115127.52+144425.4,,316659650789720,2003.9823,3,21.182,0.422,20.643,0.139,20.018,0.123,19.07,0.08,18.762,0.248,,,,,,,,,,,0,,,,0.245371
178.815521,9.521341,2.1,2.33,J115515.65+093117.1,21.10700035095215,19.716999053955078,18.016,16.26,0,0.0,no_obs,J115515.65+093117.1,0.144,0.133,66.0,15.094,13.65,9.539,6.984,,178.815333,9.521406,0.064,0.053,90.0,1237660613440635301,2,,3,J115515.68+093117.0,,68988043776,2002.9446,3,22.48,0.736,21.104,0.104,19.615,0.043,18.894,0.033,18.473,0.088,,,,,,,-8.6,4.5,-4.4,4.5,0,,,,0.706571
179.167175,9.499165,1.12,1.04,J115640.05+092957.9,21.545000076293945,20.003000259399414,18.093,15.879,0,0.0,no_obs,J115640.05+092957.9,0.168,0.153,75.0,14.647,14.093,10.445,8.836,,179.166855,9.499497,0.111,0.078,0.0,1237660613440766392,1,+,3,J115640.04+092958.1,,217164284160,2002.9446,3,22.957,1.05,21.545,0.141,20.003,0.055,19.358,0.047,18.761,0.102,,,,0.40903,0.06232,0.40696,,,,,0,,,,1.64926
179.925537,12.288055,1.68,1.26,J115942.14+121716.9,23.37249,22.35161,19.51,16.968,021714,-1.0,?,J115942.14+121716.9,0.195,0.179,80.0,15.112,13.906,10.928,8.963,,179.925447,12.288009,0.206,0.135,0.0,1237661949715546815,1,,3,J115942.10+121716.8,,439804919677696,2003.245,3,23.002,1.231,23.372,0.712,22.352,0.44,20.74,0.129,19.854,0.214,,,,0.93725,0.08661,0.69955,,,,,0,,,,0.355896
181.281082,-0.775361,1.51,2.01,J120507.48-004630.9,23.0748,22.52907,,16.954,GNIRS,0.0,no_obs,J120507.48-004630.9,0.161,0.151,90.0,14.896,13.432,10.456,8.436,,181.281209,-0.775252,0.18,0.097,0.0,1237674649392382884,1,+,3,J120507.49-004630.9,,281543964623104,2007.2999,3,22.652,0.431,23.075,0.211,22.529,0.199,21.505,0.107,20.924,0.222,,,,0.82187,0.07889,0.75619,,,,,0,,,,0.602485
181.408981,-0.993197,1.47,1.61,J120538.06-005935.0,21.11199951171875,19.452999114990234,18.389,15.881,0,0.0,no_obs,J120538.06-005935.0,0.156,0.146,81.0,14.487,13.917,10.452,8.146,,181.408787,-0.993149,0.056,0.053,90.0,1237648672894157363,2,,3,J120538.10-005935.3,,35255507616016,1999.2151,3,24.787,2.053,22.16,0.215,19.913,0.045,19.418,0.044,18.636,0.082,,,,,,,,,,,0,,,,0.717717
182.109833,2.679047,1.01,1.55,J120826.46+024044.1,21.30500030517578,20.29800033569336,18.265,16.468,0,0.0,no_obs,J120826.46+024044.1,0.246,0.223,80.0,15.282,14.578,11.334,8.637,,182.110227,2.67894,0.055,0.035,90.0,1237651754011263395,1,+,3,J120826.45+024044.1,,68987912192,2000.3431,3,21.832,0.23,21.305,0.062,20.298,0.039,19.787,0.038,19.522,0.128,,,,0.47124,0.09476,0.46443,,,,,0,,,,1.468374
182.281265,14.883831,4.12,3.79,J120907.51+145301.5,23.2703,22.50354,18.846,16.519,041314/LRIS051515,2.3,QSO,J120907.51+145301.5,0.367,0.335,75.0,16.068,14.942,11.942,8.875,,182.28137,14.883768,0.126,0.119,90.0,1237664131563979623,2,,6,J120907.52+145301.5,,281543964623104,2003.9823,2,23.208,0.45,23.631,0.323,22.534,0.272,21.65,0.194,20.72,0.21,,,,,,,,,,,0,,,,0.431227
183.865326,7.299253,2.36,2.64,J121527.66+071757.6,21.75762,21.44708,17.94,15.796,030113,1.43,QSO,J121527.66+071757.6,0.093,0.091,79.0,14.121,12.426,9.312,7.293,,183.865258,7.299311,0.12,0.09,90.0,1237658423564174061,1,+,3,J121527.66+071757.5,,68987912448,2002.1747,3,22.82,0.615,21.758,0.097,21.447,0.121,20.962,0.109,20.276,0.204,,,,0.53537,0.23208,0.54143,,,,,0,,,,0.321048
184.372726,-1.070975,3.2,3.5,J121729.43-010415.6,24.11235,21.98967,18.825,16.841,0,0.0,no_obs,J121729.43-010415.6,0.438,0.406,91.0,15.772,15.208,11.7,8.275,,184.372608,-1.070912,0.209,0.176,0.0,1237654668676891300,2,,3,J121729.42-010415.2,,281709320864000,2001.1457,1,25.38,1.696,26.329,0.874,22.152,0.28,20.551,0.108,19.704,0.197,,,,,,,,,,,0,,,,0.480341
184.739136,9.590356,1.3,0.74,J121857.33+093525.8,23.39299964904785,21.5,19.025,16.863,0,0.0,no_obs,J121857.33+093525.8,0.325,0.295,86.0,15.686,15.185,12.195,8.99,,184.739121,9.590554,0.179,0.09,90.0,1237658492281422432,1,+,3,J121857.38+093525.9,*,263953926193936,2002.1939,3,23.308,0.882,23.393,0.571,21.5,0.135,20.165,0.057,19.572,0.129,,,,0.70177,0.04074,0.65463,,,,,0,,,,0.715221
185.239243,9.721089,1.13,0.91,J122057.44+094316.0,22.59715,21.74236,18.533,16.503,050215,0.89,QSO,J122057.44+094316.0,0.176,0.161,72.0,15.025,13.925,11.291,8.272,,185.239334,9.721123,0.065,0.06,0.0,1237658492281618923,1,+,3,J122057.44+094316.0,,69524783360,2002.1939,3,24.266,0.998,22.597,0.142,21.742,0.092,20.435,0.039,19.572,0.077,,,,0.84974,0.09088,0.66951,,,,,0,,,,0.344248
185.654282,1.263314,5.75,5.48,J122237.02+011549.4,21.209999084472656,19.69099998474121,18.359,16.437,0,0.0,no_obs,J122237.02+011549.4,0.297,0.268,72.0,15.49,14.961,11.293,8.135,,185.654343,1.263795,0.076,0.054,90.0,1237651752402158096,1,+,3,J122237.04+011549.6,,68987912192,2000.3431,3,22.178,0.573,21.21,0.114,19.691,0.042,19.065,0.04,18.835,0.121,,,,0.37632,0.09079,0.36712,,,,,0,,,,1.74537
185.97673,8.656931,1.27,1.41,J122354.36+083925.8,20.809999465942383,19.5,17.694,15.614,0,0.0,no_obs,J122354.36+083925.8,0.133,0.125,91.0,14.482,13.446,10.226,7.903,,185.976499,8.657198,0.05,0.034,90.0,1237659344272163418,2,,3,J122354.35+083925.9,*,35259802452240,2002.4399,1,23.591,1.517,20.764,0.056,19.585,0.029,18.995,0.027,18.529,0.065,,,,,,,-43.2,5.4,7.9,5.4,0,,,,1.265617
186.084183,8.050058,1.2,2.11,J122420.16+080259.0,20.05699920654297,18.878999710083008,17.107,15.227,0,0.0,no_obs,J122420.16+080259.0,0.064,0.061,94.0,14.288,13.675,9.799,8.168,15.995,186.083997,8.049621,0.072,0.054,0.0,1237654786779316422,2,,3,J122420.15+080258.6,*,105622104310616,2001.1946,1,21.822,0.908,20.232,0.123,18.893,0.033,18.304,0.024,17.81,0.041,,,,,,,-1.6,4.7,-4.7,4.7,0,,,,1.707165
188.688583,1.213272,16.28,16.11,J123445.27+011248.2,22.21562,21.71405,18.236,16.574,050315,1.38,?,J123445.27+011248.2,0.292,0.264,86.0,15.484,14.795,11.526,8.325,,188.688535,1.213238,0.172,0.142,90.0,1237648722845172091,1,+,3,J123445.24+011247.6,,68988043520,1999.2206,3,23.011,0.688,22.216,0.167,21.714,0.159,20.7,0.1,20.566,0.336,,,,0.75139,0.06084,0.71979,,,,,0,,,,0.211515
189.002136,11.76315,3.39,5.75,J123600.45+114547.9,23.378000259399414,22.08099937438965,18.776,16.992,0,0.0,no_obs,J123600.45+114547.9,0.284,0.26,90.0,15.674,15.04,12.217,8.246,,189.001951,11.763261,0.271,0.145,0.0,1237658633453503087,2,,3,J123600.46+114547.7,,281543964623616,2002.2244,1,23.164,0.899,23.821,0.635,21.741,0.164,20.469,0.078,20.312,0.243,,,,,,,,,,,0,,,,0.764894
189.371475,10.624531,8.21,7.95,J123729.15+103727.9,24.14935,22.39802,18.913,16.967,041514,-1.0,?,J123729.15+103727.9,0.28,0.262,71.0,15.469,14.845,11.942,8.231,,189.371423,10.62451,0.157,0.146,0.0,1237662238542069802,1,,3,J123729.14+103728.2,,105622138392924,2003.3187,3,25.73,0.688,24.149,0.503,22.398,0.19,20.931,0.073,21.092,0.274,,,,0.53116,0.09022,0.53605,,,,,0,,,,0.200391
189.977692,3.712031,1.87,7.6,J123954.64+034242.3,23.3567,22.09363,18.669,16.693,0,0.0,no_obs,J123954.64+034242.3,0.266,0.243,96.0,15.24,14.547,12.29,8.918,,189.977578,3.711792,0.188,0.122,0.0,1237651737908806130,1,+,3,J123954.61+034242.4,,105624285217552,2000.3404,3,22.882,0.526,23.357,0.33,22.094,0.167,20.902,0.096,20.345,0.224,,,,0.63937,0.06352,0.66034,,,,,0,,,,0.952282
189.97821,0.037603,1.1,0.93,J123954.82+000214.8,20.659000396728516,19.23699951171875,16.903,14.752,0,0.0,no_obs,J123954.82+000214.8,0.096,0.094,66.0,13.459,12.505,9.768,8.105,15.645,189.978439,0.037464,0.015,0.013,90.0,1237648704579961085,1,+,3,J123954.82+000214.8,,68987912448,1999.2179,3,21.931,0.215,20.659,0.035,19.237,0.016,18.569,0.014,17.916,0.028,,,,0.37988,0.08349,0.43355,2.8,5.6,-8.2,5.6,0,,,,0.963828
190.235382,11.297389,1.07,0.95,J124056.49+111750.7,22.42873,21.54053,18.794,16.271,042813,-1.0,?,J124056.49+111750.7,0.095,0.088,66.0,13.907,12.248,9.057,7.516,,190.235387,11.29746,0.061,0.047,0.0,1237661815485563391,1,,3,J124056.49+111750.8,*,123248650093400,2003.2231,3,22.758,0.344,22.429,0.117,21.541,0.079,20.916,0.065,20.147,0.117,,,,0.62427,0.11896,0.5786,,,,,0,,,,0.255117
190.33345,1.243786,20.86,21.08,J124120.01+011437.7,22.62811,22.2212,,16.832,0,0.0,no_obs,J124120.01+011437.7,0.421,0.379,80.0,16.007,15.37,12.06,9.032,,190.333425,1.243731,0.128,0.128,90.0,1237651752404255357,2,,6,J124120.02+011437.4,,281543964623104,2000.3431,3,23.124,0.567,23.268,0.291,22.429,0.181,22.067,0.23,21.033,0.341,,,,,,,,,,,0,,,,0.218169
190.728577,12.393683,1.33,1.42,J124254.96+122337.7,22.344999313354492,20.885000228881836,18.757,16.932,GNIRS,0.0,no_obs,J124254.96+122337.7,0.242,0.219,79.0,15.386,14.311,10.917,8.311,,190.728731,12.393499,0.041,0.038,90.0,1237661949720134313,1,+,6,J124254.89+122336.5,*,193585215570192,2003.2451,3,24.843,1.144,22.345,0.122,20.885,0.05,20.703,0.047,19.923,0.089,0.33666,4.0E-5,0,,,,-237.0,5.0,83.8,5.0,6090214797403156480,QSO,QSO,AGN BROADLINE,0.855059
190.848892,10.395661,2.37,2.18,J124323.71+102344.7,21.54865,20.52405,17.52,15.474,F2M,0.68,QSO,J124323.71+102344.7,0.108,0.107,105.0,13.919,12.824,10.194,7.93,16.56,190.84874,10.395703,0.032,0.028,90.0,1237658493357785446,1,+,3,J124323.69+102344.5,,140806476398592,2002.1939,3,22.881,0.376,21.549,0.058,20.524,0.036,19.522,0.023,19.041,0.046,,,,0.62302,0.06368,0.62814,,,,,0,,,,0.559017
