ra_x,dec_x,R_MAG_AB,Y_MAG_AB,J_MAG_AB,H_MAG_AB,K_MAG_AB,ch1_mag,ch2_mag,gj,rj,jk,rk,Fpk,Hpk,redshift,specObjID,class,JNAME,errHalfMaj,errHalfMin,errPosAng,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,cntr,cc_flags,ext_flg,var_flg,ph_qual,r_2mass,angDist,RAdeg,DEdeg,errHalfMaj_x,errHalfMin_x,errPosAng_x,objID,mode,q_mode,class_x,SDSS12,m_SDSS12,flags,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,e_zsp,f_zsp,zph,e_zph,avg_zph,pmRA,e_pmRA,pmDE,e_pmDE,SpObjID,spType,spCl,subClass,angDist_x,RAdeg_x,DEdeg_x,errHalfMaj_xa,errHalfMin_xa,errPosAng_xa,objID_x,mode_x,q_mode_x,class_xa,SDSS12_x,m_SDSS12_x,flags_x,ObsDate_x,Q_x,umag_x,e_umag_x,gmag_x,e_gmag_x,rmag_x,e_rmag_x,imag_x,e_imag_x,zmag_x,e_zmag_x,zsp_x,e_zsp_x,f_zsp_x,zph_x,e_zph_x,avg_zph_x,pmRA_x,e_pmRA_x,pmDE_x,e_pmDE_x,SpObjID_x,spType_x,spCl_x,subClass_x,angDist_xa
3.57303,0.770561,21.7386,20.51426,20.134527,19.215633,18.81685,18.401943,18.482817,3.3483732,1.6040723,1.3176764,2.9217486,-999.0,-999.0,-999.0,0,none,J001417.52+004614.0,0.333,0.314,139.0,15.745,14.965,12.407,8.364,,,,0.061,0.101,0.503,0.351,,,,30101501241000177,0000,0,01nn,AACB,,0.284709,3.573056,0.770551,0.178,0.162,90.0,1237666636609618285,2,,3,J001417.53+004613.9,*,281543964753920,2004.8412,2,24.111,1.685,23.576,0.698,21.873,0.199,20.985,0.135,20.414,0.256,,,,,,,,,,,0,,,,0.100417,3.573025,0.770633,0.291,0.138,0.0,1237663505579114988,2,,3,J001417.52+004614.2,,217164284160,2003.8063,3,22.801,0.566,23.441,0.426,22.018,0.181,20.836,0.1,20.008,0.181,,,,,,,,,,,0,,,,0.063692
3.724446,0.66708,21.6203,19.584682,19.468552,18.930237,18.389635,17.401804,16.856028,3.4043481,2.1517484,1.0789164,3.2306647,-999.0,-999.0,-999.0,0,none,J001453.86+004001.4,0.179,0.164,135.0,14.85,13.503,10.537,7.349,,,,0.039,0.046,0.102,0.158,,,,30100001241031052,0000,0,221n,AAAB,,0.385314,3.724464,0.667061,0.074,0.062,90.0,1237660009476260525,2,,6,J001453.87+004001.4,,68987912960,2002.7744,3,25.671,0.692,23.145,0.23,21.77,0.107,20.605,0.058,19.981,0.117,,,,,,,,,,,0,,,,0.093211,3.724439,0.667013,0.068,0.059,0.0,1237663544234476087,2,,6,J001453.86+004001.2,*,35255507484944,2003.8117,3,24.492,0.822,22.741,0.141,21.64,0.082,20.579,0.046,20.185,0.113,,,,,,,,,,,0,,,,0.233952
3.796526,0.771477,21.7316,20.172855,19.629282,18.926327,18.54679,17.985064,17.977507,3.0974176,2.1023176,1.0824927,3.1848102,-999.0,-999.0,-999.0,Gemini18B,none,J001511.16+004617.3,0.305,0.284,137.0,15.416,14.768,11.766,7.926,,,,0.055,0.094,0.287,,,,,45101501241005634,0000,0,00nn,AABU,,0.149707,3.796505,0.771486,0.103,0.075,0.0,1237657106061329026,2,,3,J001511.16+004617.3,,68987912448,2001.865,3,23.111,0.558,22.894,0.237,21.463,0.109,20.802,0.096,19.991,0.17,,,,,,,,,,,0,,,,0.083013,3.796489,0.771455,0.191,0.129,0.0,1237666662380208800,2,,3,J001511.15+004617.2,*,68987912448,2004.8466,3,24.859,1.198,23.449,0.353,21.827,0.143,20.827,0.094,20.013,0.159,,,,,,,,,,,0,,,,0.05379
3.806331,-0.549673,21.4342,20.108301,19.459167,19.2629,18.521544,17.394745,17.093983,3.105232,1.9750326,0.93762386,2.9126563,-999.0,-999.0,0.832,Gemini18B,QSO,J001513.51-003258.8,0.186,0.174,140.0,14.914,13.722,10.981,7.66,,,,0.04,0.047,0.145,0.192,,,,45100001241005694,0000,0,000n,AABB,,0.313189,3.806357,-0.549693,0.148,0.115,90.0,1237657362150326516,2,,3,J001513.52-003258.8,,68987912448,2001.9417,2,24.234,2.498,21.877,0.157,21.005,0.108,20.288,0.079,19.581,0.146,,,,,,,,,,,0,,,,0.11994,3.806287,-0.549759,0.085,0.067,90.0,1237663503968567691,2,,3,J001513.50-003259.1,,68987912960,2003.8063,3,23.555,1.23,22.208,0.163,21.068,0.085,20.364,0.068,19.605,0.135,,,,,,,,,,,0,,,,0.036129
3.966802,-0.987506,21.6604,20.154078,19.971056,19.268772,18.851816,18.694536,18.780142,3.1760442,1.6893442,1.1192397,2.8085837,-999.0,-999.0,-999.0,0,none,J001552.03-005915.0,0.426,0.386,127.0,16.018,15.642,11.745,8.633,,,,0.074,0.163,0.24,,,,,45001601241034947,0000,0,1nnn,ABBU,,0.634544,3.966832,-0.987561,0.125,0.114,0.0,1237663739638383102,2,,3,J001552.03-005915.2,,439873639153920,2003.8827,3,24.638,1.491,23.05,0.37,21.147,0.099,20.542,0.084,20.375,0.266,,,,,,,,,,,0,,,,0.225018,3.966873,-0.987638,0.147,0.114,0.0,1237666381049758313,2,,3,J001552.04-005915.4,*,281543964623616,2004.7702,1,24.136,1.683,25.344,1.677,21.66,0.147,20.934,0.104,20.336,0.276,,,,,,,,,,,0,,,,0.103908
4.384742,-0.079213,21.9261,20.305336,19.435913,18.911001,18.540066,17.72955,17.802277,3.899986,2.4901865,0.8958472,3.3860335,-999.0,-999.0,-999.0,Gemini18B,none,J001732.33-000445.1,0.227,0.209,122.0,15.146,14.414,12.575,9.006,,,,0.044,0.065,,,,,,45100001241016828,0000,0,10nn,AAUU,,0.135761,4.384711,-0.079196,0.117,0.084,90.0,1237660236034409120,2,,3,J001732.33-000445.1,*,281543964623104,2002.8316,3,24.211,2.685,22.361,0.312,21.027,0.149,19.854,0.08,19.41,0.218,,,,,,,,,,,0,,,,0.126901,4.384721,-0.079299,0.42,0.338,0.0,1237657362687459720,2,,3,J001732.33-000445.4,*,217164284160,2001.9417,2,23.904,1.943,22.725,0.321,21.524,0.172,20.783,0.118,19.903,0.208,,,,,,,,,,,0,,,,0.204015
4.425562,0.621374,22.0745,19.97713,19.735699,19.408669,18.87875,19.073723,19.142057,2.865402,2.3388002,0.85694873,3.1957488,-999.0,-999.0,-999.0,0,none,J001742.13+003716.9,0.555,0.492,128.0,16.258,16.204,12.57,8.842,,,,0.089,0.289,0.496,,,,,45100001241030693,0000,0,1nnn,ABCU,,0.955683,4.425418,0.621571,0.083,0.073,0.0,1237663527057097350,2,,3,J001742.10+003717.6,,105624251793680,2003.809,3,25.966,0.91,22.713,0.246,20.739,0.073,19.923,0.056,19.235,0.106,,,,,,,,,,,0,,,,0.878528,4.425422,0.621607,0.071,0.071,0.0,1237659906396848534,2,,3,J001742.10+003717.7,,246393952408408,2002.7607,3,22.786,0.652,22.633,0.275,20.745,0.072,20.023,0.06,19.391,0.118,,,,,,,,,,,0,,,,0.5928
4.452944,-0.247525,21.3365,19.893913,19.661568,18.998552,18.533945,18.027304,18.096281,2.9719312,1.6749322,1.1276225,2.8025546,-999.0,-999.0,-999.0,0,none,J001748.70-001451.0,0.266,0.246,130.0,15.406,14.855,12.44,8.336,,,,0.05,0.089,,,,,,45100001241009603,0000,0,00nn,AAUU,,0.455354,4.45298,-0.247615,0.044,0.043,90.0,1237663276855984539,2,,3,J001748.71-001451.4,*,251524022528,2003.7408,3,23.675,0.752,22.527,0.152,21.48,0.082,20.567,0.057,20.098,0.163,,,,,,,,,,,0,,,,0.348072,4.452989,-0.247624,0.099,0.076,90.0,1237653011901579607,2,,3,J001748.71-001451.4,*,68987912192,2000.754,3,25.485,1.268,22.259,0.168,21.088,0.086,20.332,0.064,19.912,0.176,,,,,,,,,,,0,,,,0.068203
4.483007,0.846485,21.6043,20.109879,19.58175,19.257719,18.624626,19.282793,19.323788,3.5528486,2.0225484,0.9571246,2.979673,-999.0,-999.0,999.0,NIRES080418_0922,?,J001755.92+005047.3,0.652,0.601,143.0,16.423,16.08,12.573,8.751,,,,0.105,0.281,,,,,,45101501241003151,0000,0,0nnn,ABUU,,1.234751,4.482816,0.846509,0.122,0.073,0.0,1237660027190051437,2,,3,J001755.87+005047.4,,68987912192,2002.7771,3,23.071,0.549,22.748,0.17,21.546,0.101,20.543,0.062,20.12,0.138,,,,,,,,,,,0,,,,0.692034,4.48273,0.846554,0.111,0.082,0.0,1237660357896831525,2,,3,J001755.85+005047.5,*,68987912448,2002.8535,3,25.876,0.643,22.981,0.194,21.39,0.087,20.725,0.088,20.433,0.237,,,,,,,,,,,0,,,,0.245389
4.956777,0.688002,21.0621,19.90907,19.548784,18.946547,18.11601,16.779903,16.25257,2.3798158,1.513315,1.4327735,2.9460883,-999.0,-999.0,-999.0,0,none,J001949.62+004116.8,0.123,0.116,133.0,14.471,13.046,9.882,7.426,,,,0.032,0.032,0.049,0.123,,,,45100001241028916,0000,0,111n,AAAB,,0.313161,4.95678,0.68801,0.063,0.051,0.0,1237663544235065750,2,,3,J001949.62+004116.8,*,217164284160,2003.8118,3,22.103,0.304,21.933,0.122,20.877,0.064,20.168,0.053,19.939,0.153,,,,,,,,,,,0,,,,0.029124,4.956789,0.687982,0.12,0.1,0.0,1237666408981463497,2,,3,J001949.62+004116.7,*,68987912448,2004.7756,3,23.491,1.024,21.985,0.129,21.04,0.082,20.429,0.065,20.042,0.162,,,,,,,,,,,0,,,,0.23569
