counter,RA,DEC,G_mag,R_mag,J_mag,K_mag,W1mag,W2mag,petro_g,petro_r,Fpk,Hpk,redshift,specObjID,class,U_mag,I_mag,Z_mag
201,23:30:54.91,+00:56:56.9,23.3269,21.59,19.866182,18.762281,18.960617,18.887865,6.217754322052002,5.991155261993408,-999.0,-999.0,-999.0,0,none,24.281,20.959,22.592
203,23:33:07.40,+00:55:06.4,22.8613,21.6184,20.108574,18.839222,18.514269,18.550991,4.4786649971008305,5.934701499938965,-999.0,-999.0,-999.0,0,none,26.78,20.535,19.832
150,22:46:26.06,+00:48:08.5,22.9831,21.2728,19.64929,18.640886,18.932909,18.851236,4.725650253295899,5.120565250396729,-999.0,-999.0,999.0,NIRES092218,?,24.265,20.583,19.913
196,23:28:01.96,-00:28:22.1,22.1886,20.7876,19.21418,17.895296,16.86127,16.672306,6.251731189727783,5.233472774505615,-999.0,-999.0,-999.0,0,none,23.67,20.263,19.915
112,22:14:38.06,+00:49:09.2,22.4646,21.082,19.31235,17.994434,18.144482,18.041004,6.960016777038574,5.772919750213624,-999.0,-999.0,999.0,TSPEC082818,??,25.06,20.359,19.749
4,00:00:32.18,+00:41:42.1,23.4021,21.9563,19.740633,18.790592,18.524115,18.444016,4.812683120727539,4.537471172332764,-999.0,-999.0,-999.0,0,none,24.722,20.941,20.096
200,23:30:49.95,+00:50:20.9,23.5168,21.3072,19.65708,18.608528,18.662817,18.742205,4.459063190460205,7.534224632263184,-999.0,-999.0,-999.0,NIRES092318,none,23.298,20.826,19.991
191,23:26:07.59,+00:17:49.1,22.4975,21.6561,19.706724,18.870152,18.078615,18.154795,3.9870468978881837,3.9162184524536134,-999.0,-999.0,999.0,NIRES091818,??,23.296,20.536,20.036
237,23:56:46.43,-00:56:22.2,23.693,22.7535,19.689388,18.623104,17.578903,17.09441,4.430574783325196,3.396634620666504,-999.0,-999.0,0.876,Gemini,QSO,24.052,21.307,20.864
127,22:24:20.46,+00:50:38.2,23.1191,21.7748,19.261927,17.068174,18.27231,17.830782,,5.072997333526612,-999.0,-999.0,-999.0,0,none,,,
25,00:21:32.72,+00:43:38.3,22.6211,21.2211,19.563522,18.48406,17.640324,17.274273,5.915884082794189,5.352652770996094,-999.0,-999.0,-999.0,0,none,23.162,20.226,19.604
95,02:18:13.61,+00:13:26.3,22.4433,20.9345,19.42382,18.112679,18.356007,18.29546,3.648585662841797,5.4509246520996095,-999.0,-999.0,2.181,TSPEC082818,QSO,22.038,20.519,19.69
131,22:25:21.99,-00:19:46.3,23.1917,21.464,19.880795,18.812025,19.084314,19.134626,5.521230045318604,5.2501998710632325,-999.0,-999.0,-999.0,0,none,24.356,20.824,20.521
81,02:02:21.07,-00:30:40.4,22.1663,20.5981,18.963036,17.929186,17.917034,17.790567,5.861782356262207,6.278912910461426,-999.0,-999.0,999.0,TSPEC082718,??,23.168,19.627,19.281
76,01:59:10.14,+01:01:26.5,22.8906,21.6125,19.465324,18.71226,18.106535,18.053753,3.284772445678711,4.4104499244689945,-999.0,-999.0,999.0,NIRES091818,??,24.065,20.548,19.964
20,00:17:55.84,+00:50:47.5,23.1346,21.6043,19.58175,18.624626,19.282793,19.323788,5.655830451965333,4.317667636871338,-999.0,-999.0,999.0,NIRES080418_0922,?,,,
189,23:25:33.45,+00:56:58.8,23.8279,22.9265,19.509106,18.765951,17.742996,17.029814,3.4860195236206057,6.200766265869141,-999.0,-999.0,1.569,Gemini,QSO,23.734,21.805,21.051
206,23:37:07.75,-00:11:45.4,23.324,21.6017,20.00307,18.724482,18.995108,19.043505,4.602810779571533,4.401302742004395,-999.0,-999.0,-999.0,0,none,22.218,20.724,19.952
172,23:06:33.75,-00:19:49.4,22.8103,21.3927,19.823763,18.672869,18.515001,18.582495,5.854463779449463,5.918236118316651,-999.0,-999.0,-999.0,0,none,24.715,20.637,19.913
105,22:10:00.83,+00:11:47.2,23.4526,21.524,19.823439,18.72413,18.952425,19.051607,5.864134391784669,6.2875377960205086,-999.0,-999.0,999.0,NIRES080218,??,23.263,20.717,20.393
79,02:00:00.35,-00:25:18.6,22.7116,21.4309,19.648737,18.807434,18.86826,18.902428,4.897363952636719,5.32547142791748,-999.0,-999.0,-999.0,0,none,26.162,20.851,19.933
219,23:46:42.13,+00:12:07.3,22.3867,21.927,19.42613,18.419031,18.601303,18.698864,4.380393871307374,6.145096515655518,-999.0,-999.0,-999.0,Gemini18B,??,,,
186,23:23:39.28,-00:22:11.4,22.5997,21.5122,19.623615,18.478287,17.814896,17.756956,4.276372192382813,4.315576183319092,0.92,-999.0,-999.0,0,none,24.225,20.961,19.97
43,00:41:29.50,+00:08:01.0,22.945,21.3517,19.558575,18.608295,18.639807,18.708858,5.62028556060791,4.547664081573487,-999.0,-999.0,2.1?,NIRES080418_0922,QSO?,24.674,20.487,19.731
56,01:47:12.37,+00:44:53.4,22.9546,21.197,19.533281,18.521955,18.486404,18.569769,6.5444542465209965,7.484827354431153,-999.0,-999.0,-999.0,Gemini18B,none,,,
178,23:14:39.55,+00:38:14.1,21.6501,20.5894,18.42292,17.622385,17.894796,17.841461,5.443083023071289,5.18538256072998,-999.0,-999.0,999.0,TSPEC083018,??,22.941,18.999,18.572
48,00:49:55.39,-00:47:11.9,23.137,21.459,19.792374,18.75854,18.96958,19.012737,4.462199237823486,4.58948182296753,-999.0,-999.0,-999.0,0,none,25.126,20.814,20.513
220,23:46:48.35,+00:49:20.4,22.5014,21.4157,19.813034,18.698067,18.08767,18.115824,10.609125114440918,9.62850228881836,-999.0,-999.0,-999.0,NIRES092318,none,22.681,20.422,20.088
132,22:26:21.82,-00:25:59.7,23.7838,21.656,19.480682,18.765566,18.705353,18.568567,3.876491409301758,5.333050964355469,-999.0,-999.0,-999.0,0,none,24.883,20.413,19.608
51,00:50:48.70,+00:27:23.6,21.8593,21.2488,19.534382,18.31422,16.821789,16.27835,5.344289600372314,4.056307319641114,1.0799999,0.71,-999.0,0,none,22.137,20.432,19.813
145,22:42:53.04,+00:53:30.5,23.0533,21.509,20.008501,18.817123,18.352617,18.161888,4.104658870697022,3.989399311065674,-999.0,-999.0,-999.0,0,none,23.184,20.398,19.519
133,22:26:26.09,-00:13:27.8,22.5786,21.3126,19.613358,18.698317,18.576996,18.527761,3.605983909606934,3.326590187072754,-999.0,-999.0,999.0,NIRES080318,?,23.107,20.368,19.955
102,02:22:52.91,-00:43:52.2,22.366,21.4493,19.633734,18.819748,17.858881,17.660727,6.013893871307373,6.141959712982178,-999.0,-999.0,-999.0,0,none,23.641,20.519,19.935
55,00:54:26.80,+00:14:38.8,21.9034,20.5287,18.972878,17.761864,17.752895,17.750784,5.5606957511901856,5.220927452087403,1.02,0.75,999.0,TSPEC082718,??,22.421,19.867,19.512
13,00:14:53.85,+00:40:01.2,22.8729,21.6203,19.468552,18.389635,17.401804,16.856028,5.219359050750732,3.32240841293335,-999.0,-999.0,-999.0,0,none,24.492,20.593,20.204
167,23:01:59.80,+00:14:27.6,22.9114,21.6928,19.844791,18.746202,18.95189,19.03635,4.871489295959472,6.184039169311523,-999.0,-999.0,999.0,NIRES080218,?,,,
80,02:02:14.29,-00:17:48.4,21.8464,21.402,19.581646,18.770527,17.991934,18.009,4.18228284072876,3.7259482955932617,67.49,37.32,-999.0,0,none,22.994,20.746,20.141
36,00:30:04.97,+00:25:01.2,22.997,22.1429,19.30157,18.00772,17.517044,16.839203,4.942317741394043,9.212417839050293,-999.0,-999.0,-999.0,0,none,23.082,21.415,20.571
238,23:57:38.45,+00:45:41.5,24.2575,22.233,20.153868,18.63258,17.57046,17.1792,4.177317054748535,3.467201728820801,-999.0,-999.0,0.467,Gemini,QSO/AGN,23.265,21.211,20.569
110,22:12:55.27,+00:01:08.2,23.321,22.5719,20.233511,18.842813,17.56702,16.81474,4.087670436859131,3.5309733123779297,1.1,0.53,1.522,NIRES091818,QSO,22.371,21.337,21.064
239,23:58:39.99,-00:48:57.7,23.1612,21.356,19.708775,18.689625,18.879488,18.875639,8.057205848693847,6.028007217407227,-999.0,-999.0,-999.0,0,none,25.807,20.331,19.857
233,23:54:46.84,-00:44:17.6,22.8219,22.169,20.110823,18.31124,16.67346,16.039476,4.78811515045166,3.341226585388184,-999.0,-999.0,?,Gemini,QSO,25.208,21.154,20.442
37,00:30:30.88,-00:34:22.4,22.7951,21.4104,19.41549,18.311056,17.27934,16.989735,7.020652313232422,7.197854095458985,7.81,-999.0,-999.0,0,none,25.125,20.241,19.773
33,00:25:51.87,+00:21:13.9,22.5651,21.1335,19.519297,18.423338,18.573938,18.621902,5.342198146820069,5.1631666259765625,-999.0,-999.0,-999.0,0,none,23.312,20.382,20.149
23,00:20:54.03,+00:13:31.0,23.2039,21.5391,19.671373,18.602667,19.037373,18.97446,5.445174476623535,4.528845909118653,-999.0,-999.0,999.0,NIRES080418_0922,?,24.012,20.775,20.365
139,22:32:53.43,-00:53:39.8,23.0978,21.7016,20.08417,18.798594,18.93794,18.999502,5.650341613769531,5.227199924468994,-999.0,-999.0,-999.0,NIRES091818,none,25.175,20.667,22.078
32,00:24:58.30,+00:30:00.1,23.4141,22.1628,19.716919,18.792313,18.128263,17.662277,3.149649364471436,2.7913249855041506,-999.0,-999.0,-999.0,0,none,23.524,21.379,20.426
17,00:17:32.34,-00:04:45.3,23.3359,21.9261,19.435913,18.540066,17.72955,17.802277,7.096446922302246,5.243143386840821,-999.0,-999.0,-999.0,Gemini18B,none,23.904,20.788,19.913
116,22:18:05.21,-00:32:07.0,22.8613,21.1197,19.534903,18.430433,18.840542,18.86857,7.127286987304688,5.860736629486084,-999.0,-999.0,-999.0,Gemini18B,??,25.885,20.391,19.726
