,petroR50_g,petroR50_r
0,270.0912347733565,0.048301808373452645
1,270.002618716678,0.10719466598928751
2,269.966165319544,-0.105913849213732
3,270.090573916623,0.070736179160246
4,270.063953399592,0.0964624359311907
5,270.11233731233,0.0486294211153705
6,270.03474762928823,-0.12013568042315048
7,269.94245703706304,0.125877028763856
8,269.93964529177964,0.13106076593641766
9,270.043615244493,-0.138957199632264
10,270.099399989674,-0.109153818107385
11,270.094548664775,-0.117625303113309
12,269.89097494400033,0.10658759621745367
13,269.9308586521425,0.14293377992962403
14,269.830495371132,0.0043655657502776
15,269.83639005263086,0.11800632008133163
16,270.0432618327905,0.19857205852108525
17,269.8237940805665,0.103579838088762
18,269.93760363479765,0.20165703611308197
19,269.8330511888725,0.1393434316578275
20,269.875202353802,0.17986774922263948
21,269.86562377421,-0.179687725780306
22,269.77086944226835,0.021771403543950532
23,270.07056294889895,-0.2199951824115515
24,269.848211207559,0.185204937855836
25,270.029337841505,0.28297570869229
26,270.13061383098,0.25127939137409
27,270.023316786277,0.263546932157082
28,269.9269137843343,-0.25226213396369396
29,269.774768314816,0.125873906991659
30,269.743650893343,0.01094101246536045
31,270.118507615517,0.225679195237286
32,269.89723732070763,-0.23249492497568477
33,269.730234622293,0.13314211192083952
34,269.8278892157465,0.18109113619889225
35,269.788285040126,0.129547089734859
36,270.112128473972,-0.220624910620765
37,269.948954030449,0.240722801427751
38,269.948611544204,0.240007258145068
39,269.82964068719997,0.16674209280156269
40,269.92371486519534,-0.20359064461971366
41,270.07416434719,0.277545037455148
42,270.238945701736,-0.158643448823112
43,270.21578738304,0.188834925073029
44,270.1657423211795,-0.232486735853994
45,270.262139803734,0.124244474224286
