RA,DEC,U_mag,G_mag,R_mag,I_mag,Z_mag,J_mag,H_mag,K_mag,W1mag,W2mag,SPEC_Z,SPEC_CLASS
15.06079674,-0.011452497,23.008663,22.980068,22.507168,22.298237,21.562944,,20.61874,,19.802698,19.899359,1.26344,GALAXY
26.50476074,-0.263437659,24.290459,23.66269,22.4993,21.809309,20.986202,20.334734,19.989096,20.033342,19.235432,19.15334,0.878522,GALAXY
19.1413002,-0.387431145,,24.267288,22.493715,21.06028,20.587309,19.827847,19.620758,19.108122,18.832554,19.089687,0.846046,GALAXY
15.30612183,0.067137644,23.5859,23.0415,22.4812,22.1995,21.4489,,,,,,0.200237,GALAXY
25.31049728,0.244910985,24.703054,23.142797,22.474756,21.724018,21.640135,20.871323,20.210579,20.43903,20.320095,20.54978,0.656953,GALAXY
25.76197243,0.142292827,23.839302,22.875412,22.455206,22.012146,21.555916,20.675783,20.708763,20.338634,19.681015,19.693611,1.27523,GALAXY
27.7905426,-0.268891633,23.34358,22.8916,22.450895,21.744345,20.69454,20.464561,19.747,19.370138,18.454735,17.925999,1.14675,GALAXY
18.70741272,-0.407651961,23.7099,23.1634,22.4473,22.005,21.9916,,,,20.075775,19.931526,0.5602686,GALAXY
25.35957336,0.476667285,22.684956,22.813799,22.433617,22.249174,21.995457,21.725813,,,19.801088,19.506771,1.1262,GALAXY
53.50504872,0.133860864,,24.04,22.4334,21.6539,21.4734,,,,,,0.59,GALAXY
20.03573608,-0.394688547,23.304993,23.05842,22.396706,21.81446,20.854498,20.271053,20.043344,19.53728,18.89601,18.866367,1.116107,GALAXY
23.82517052,-0.58883673,23.1832,23.0618,22.3912,21.6161,20.8283,,,,19.097967,19.086044,0.930385,GALAXY
23.88964081,-0.254020452,24.412708,23.58053,22.3884,21.298302,21.026064,20.853876,19.93651,20.20179,19.74929,20.157665,0.625878,GALAXY
18.83683395,0.378810287,23.203354,22.988783,22.385725,21.897655,21.31473,20.920294,20.699192,19.63235,18.678888,18.385191,1.01538,GALAXY
15.63216972,0.067331702,23.749859,23.301798,22.378702,21.352234,20.8567,20.195936,20.428179,20.004772,19.288063,19.698217,0.71,GALAXY
14.50861835,0.296279579,23.0742,22.8749,22.3582,21.7749,21.6362,,,,20.100677,20.038528,0.55546,GALAXY
16.82799911,-0.286173552,23.460794,22.668676,22.356058,21.947758,21.561737,20.54711,,20.792435,19.931816,19.935194,0.8911925,GALAXY
17.6174984,-0.423952311,28.27866,23.635595,22.3498,21.332638,20.679909,20.101366,19.972761,19.559162,19.507431,19.885262,0.70269704,GALAXY
25.80954933,0.122183226,22.979967,22.495365,22.34317,21.601326,21.316587,20.62831,20.478205,20.281883,19.694496,19.982918,0.890101,GALAXY
14.63283825,0.21142143,23.1923,22.8062,22.3368,22.013,21.4853,,,,20.643614,20.775465,1.00021,GALAXY
25.89645576,0.271703601,23.57609,23.04581,22.332344,21.37378,20.599478,19.994364,19.689909,19.37481,18.95594,19.058708,0.9614995,GALAXY
27.06748772,-0.404793799,23.256378,23.103312,22.31421,22.371641,21.609007,21.27444,20.935705,,19.302471,19.420866,1.3,GALAXY
19.82838721,0.528302303,23.2723,23.0817,22.31,21.8406,21.2505,,,,,,0.617403,GALAXY
26.59305,0.136568576,,23.659002,22.309992,21.225054,20.739893,19.814825,19.95885,19.297556,18.915253,19.200626,0.83944565,GALAXY
23.55678177,-0.025319774,24.298346,23.01576,22.309704,21.751947,21.20003,20.465012,20.907125,20.078579,19.426113,19.50175,0.895212,GALAXY
334.2660828,0.459226251,23.181974,22.774445,22.307032,22.089813,21.582117,21.03259,21.13816,,20.519974,20.856735,0.917,GALAXY
17.91160965,0.175994307,22.833782,23.664614,22.285671,21.140032,20.64935,20.47602,19.83673,19.548742,19.202366,19.829948,0.7099887,GALAXY
20.64344788,-0.212423787,23.99407,23.019888,22.25859,21.319513,20.745033,20.525494,20.14713,19.613613,18.615498,18.243172,0.816272,GALAXY
352.0429688,0.223695531,23.292526,23.125757,22.249325,21.922182,20.979856,20.303215,22.869122,20.183044,19.416405,19.18974,0.7314182,GALAXY
