counter,RA,DEC,G_MAG_AB,R_MAG_AB,Y_MAG_AB,J_MAG_AB,H_MAG_AB,K_MAG_AB,ch1_mag,ch2_mag,gj,rj,jk,rk,Fpk,Hpk,redshift,specObjID,class,JNAME,ra_x,dec_x,errHalfMaj,errHalfMin,errPosAng,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,cntr,cc_flags,ext_flg,var_flg,ph_qual,r_2mass,angDist,RAdeg,DEdeg,errHalfMaj_x,errHalfMin_x,errPosAng_x,objID,mode,q_mode,class_x,SDSS12,m_SDSS12,flags,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,e_zsp,f_zsp,zph,e_zph,avg_zph,pmRA,e_pmRA,pmDE,e_pmDE,SpObjID,spType,spCl,subClass,angDist_x
187,351.100396,-0.854453,22.9224,21.8431,19.99708,19.901556,19.08157,18.669817,17.476011,17.172007,3.0208433,1.9415433,1.2317389,3.1732821,4.54,-999.0,-999.0,0,none,J232424.09-005116.0,351.100396,-0.854453,0.192,0.174,125.0,14.943,13.904,10.936,8.505,,,,0.041,0.051,0.117,0.34,,,,3509001601241030415,0,0,00nn,AABB,,0.100646,351.100389,-0.854461,0.079,0.078,0.0,1237663503426126269,2,,3,J232424.09-005116.0,*,72218374259737344,2003.8062,3,23.714,0.898,22.56,0.168,21.951,0.124,21.268,0.104,20.032,0.133,,,,,,,,,,,0,,,,0.036693
188,351.130033,0.721487,22.8844,21.4918,20.636532,19.943657,19.542995,18.828064,19.434258,19.292433,2.9407423,1.5481431,1.1155928,2.6637359,-999.0,-999.0,-999.0,0,none,J232431.20+004317.3,351.130033,0.721487,0.66,0.619,127.0,16.597,16.2,12.706,9.022,,,,0.11,0.257,0.523,,,,,3509100001241030907,0,0,1nnn,BBCU,,0.482301,351.13015,0.721509,0.15,0.121,0.0,1237663737486573884,2,,3,J232431.23+004317.4,*,2450547278080,2003.8825,3,23.626,1.028,22.771,0.265,21.281,0.107,20.692,0.095,20.109,0.188,,,,,,,,,,,0,,,,0.428504
189,351.389292,0.949569,23.8279,22.9265,20.245733,19.509106,19.007557,18.765951,17.742996,17.029814,4.318794,3.4173944,0.7431544,4.1605487,-999.0,-999.0,1.569,Gemini,QSO,J232533.43+005658.4,351.389292,0.949569,0.175,0.161,119.0,15.03,13.567,10.577,7.987,,,,0.043,0.04,0.087,0.203,,,,3509101501241001463,0,0,011n,AAAB,,0.462075,351.389246,0.949615,0.244,0.235,90.0,1237660357891129629,2,,6,J232533.41+005658.6,*,387097114444048,2002.8534,3,22.859,0.436,23.881,0.413,23.184,0.434,21.893,0.239,21.028,0.386,,,,,,,,,,,0,,,,0.232395
190,351.512769,0.759346,22.7989,21.0463,19.979486,19.06826,18.843279,18.087446,17.383953,17.210388,3.7306402,1.9780405,0.98081386,2.9588542,-999.0,-999.0,-999.0,0,none,J232603.06+004533.6,351.512769,0.759346,0.195,0.175,145.0,14.809,13.993,10.949,8.321,,,,0.04,0.052,0.112,,,,,3509101501241000060,0,0,nnnn,AABU,,0.258173,351.51277,0.759294,0.152,0.107,90.0,1237660009470886624,2,,3,J232603.06+004533.4,*,68987912448,2002.7743,3,23.61,1.246,22.301,0.18,21.007,0.09,20.254,0.073,19.751,0.166,,,,,,,,,,,0,,,,0.188814
191,351.531631,0.29704,22.4975,21.6561,19.991018,19.706724,19.271854,18.870152,18.078615,18.154795,2.790775,1.9493749,0.8365725,2.7859473,-999.0,-999.0,999.0,NIRES091818,??,J232607.59+001749.3,351.531631,0.29704,0.329,0.294,119.0,15.466,15.261,12.48,8.477,,,,0.057,0.141,0.522,,,,,3509100001241027734,0,0,1nnn,ABCU,,0.246767,351.531573,0.297014,0.161,0.103,90.0,1237663505036935573,2,,3,J232607.57+001749.2,*,68987912448,2003.8062,3,23.293,0.881,22.272,0.135,21.437,0.104,20.525,0.069,20.023,0.188,,,,,,,,,,,0,,,,0.230199
192,351.616262,-0.86252,22.8124,21.2038,19.911064,19.69192,19.166407,18.557207,18.390116,18.451147,3.1204813,1.5118806,1.1347121,2.6465926,-999.0,-999.0,-999.0,0,none,J232627.90-005145.0,351.616262,-0.86252,0.34,0.306,129.0,15.646,15.516,11.331,8.708,,,,0.059,0.151,0.164,0.377,,,,3509001601241029145,0,0,0nnn,ABBC,,0.341124,351.616281,-0.862557,0.128,0.123,0.0,1237666634456891860,2,,3,J232627.90-005145.2,*,68988043520,2004.8411,3,27.103,0.383,22.575,0.3,20.769,0.092,20.064,0.075,19.345,0.142,,,,,,,,,,,0,,,,0.14995
193,351.785818,-0.415913,23.2947,21.5335,20.311543,19.628942,19.231495,18.893177,19.144272,19.218428,3.665758,1.904558,0.73576534,2.6403232,-999.0,-999.0,-999.0,0,none,J232708.59-002457.2,351.785818,-0.415913,0.528,0.481,121.0,16.281,16.16,11.957,9.083,,,,0.087,0.261,,,,,,3524100001241007393,0,0,0nnn,ABUU,,0.125821,351.785852,-0.415923,0.179,0.114,90.0,1237659754977100274,2,,3,J232708.60-002457.3,,281543964623104,2002.6785,1,26.594,0.93,23.659,0.974,20.974,0.131,20.111,0.094,19.82,0.312,,,,,,,,,,,0,,,,0.128955
195,351.911665,-0.340703,22.1651,20.923,19.792755,19.394022,18.776772,18.17455,17.603346,17.259592,2.7710779,1.5289781,1.2194728,2.7484508,-999.0,-999.0,-999.0,0,none,J232738.79-002026.5,351.911665,-0.340703,0.195,0.183,129.0,15.025,13.961,10.982,8.548,,,,0.043,0.049,0.121,0.354,,,,3524100001241007218,0,0,000n,AABB,,0.230253,351.911701,-0.340728,0.068,0.037,90.0,1237659905317601731,2,,3,J232738.80-002026.6,*,105622104179472,2002.7606,3,22.858,0.45,22.342,0.127,20.963,0.059,20.27,0.044,19.805,0.109,,,,,,,,,,,0,,,,0.157036
196,352.008096,-0.472752,22.1886,20.7876,19.264484,19.21418,18.566456,17.895296,16.86127,16.672306,2.9744203,1.5734193,1.3188847,2.892304,-999.0,-999.0,-999.0,0,none,J232801.94-002821.9,352.008096,-0.472752,0.133,0.125,124.0,14.284,13.344,10.318,8.287,,,,0.032,0.036,0.072,0.309,,,,3524100001241004253,0,0,001n,AAAB,,0.319736,352.008119,-0.472751,0.064,0.053,90.0,1237646573182910985,2,,3,J232801.94-002821.9,*,35253360136976,1998.8779,3,25.174,1.046,22.304,0.158,20.839,0.065,19.918,0.042,19.624,0.123,,,,,,,,,,,0,,,,0.08408
197,352.048044,0.221358,22.5696,21.5636,20.00899,19.985415,19.461254,18.857218,18.152271,18.05265,2.5841844,1.5781858,1.1281966,2.7063823,-999.0,-999.0,-999.0,0,none,J232811.53+001316.8,352.048044,0.221358,0.263,0.243,125.0,15.48,14.613,11.32,8.499,,,,0.052,0.074,0.154,,,,,3524100001241022919,0,0,11nn,AABU,,0.347396,352.048066,0.221345,0.175,0.095,0.0,1237660008934277299,2,,3,J232811.53+001316.8,,105624251662608,2002.7743,3,23.5,0.966,22.728,0.195,21.779,0.129,20.703,0.076,20.658,0.316,,,,,,,,,,,0,,,,0.092959
