counter,RA,DEC,G_MAG_AB,R_MAG_AB,Y_MAG_AB,J_MAG_AB,H_MAG_AB,K_MAG_AB,ch1_mag,ch2_mag,gj,rj,jk,rk,Fpk,Hpk,redshift,specObjID,class,JNAME,ra_x,dec_x,errHalfMaj,errHalfMin,errPosAng,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,cntr,cc_flags,ext_flg,var_flg,ph_qual,r_2mass,angDist,RAdeg,DEdeg,errHalfMaj_x,errHalfMin_x,errPosAng_x,objID,mode,q_mode,class_x,SDSS12,m_SDSS12,flags,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,e_zsp,f_zsp,zph,e_zph,avg_zph,pmRA,e_pmRA,pmDE,e_pmDE,SpObjID,spType,spCl,subClass,angDist_x
209,354.579664,0.427103,22.7039,21.4185,19.931269,19.545547,18.851267,18.476404,18.622126,18.66442,3.1583517,1.8729532,1.0691432,2.9420962,-999.0,-999.0,-999.0,Gemini18B,none,J233819.11+002537.5,354.579664,0.427103,0.436,0.409,135.0,16.048,15.416,12.605,8.604,,,,0.076,0.142,0.543,,,,,3539100001241026897,0,0,2nnn,ABCU,,0.318579,354.57972,0.427091,0.092,0.071,0.0,1237660026648855117,2,,3,J233819.13+002537.5,*,68987912448,2002.7771,3,26.355,0.48,22.73,0.188,21.2,0.073,20.383,0.053,19.8,0.099,,,,,,,,,,,0,,,,0.205888
210,354.847053,0.638762,23.08,21.3445,20.414837,19.843487,19.134909,18.616552,18.704168,18.59565,3.236513,1.5010126,1.2269343,2.7279468,-999.0,-999.0,999.0,NIRES092318,?,J233923.29+003819.5,354.847053,0.638762,0.413,0.37,114.0,15.943,15.139,11.721,8.902,,,,0.076,0.117,0.249,,,,,3554100001241033362,0,0,2nnn,ABBU,,0.439514,354.847051,0.638774,0.181,0.118,90.0,1237666662376276750,2,,3,J233923.29+003819.5,*,68987912448,2004.8466,3,23.839,1.253,22.478,0.202,21.198,0.111,20.376,0.089,19.787,0.173,,,,,,,,,,,0,,,,0.043986
211,355.013761,0.522988,23.1593,21.4226,20.320578,19.896946,19.18763,18.74853,19.133343,19.216005,3.2623537,1.5256536,1.1484164,2.67407,-999.0,-999.0,-999.0,0,none,J234003.30+003122.7,355.013761,0.522988,0.617,0.559,129.0,16.487,15.501,12.508,8.838,,,,0.111,0.156,,,,,,3554100001241031982,0,0,1nnn,BBUU,,0.650156,355.013727,0.522931,0.1,0.068,90.0,1237667173460804427,2,,3,J234003.29+003122.5,,68988044032,2004.9504,3,24.243,1.035,22.91,0.228,21.188,0.085,20.753,0.099,19.937,0.16,,,,,,,,,,,0,,,,0.236732
212,355.063673,-0.175994,21.7893,21.3575,19.72542,19.04834,18.453045,17.986286,17.640783,17.40266,2.7409608,2.30916,1.0620536,3.3712134,4.81,-999.0,-999.0,0,none,J234015.28-001033.5,355.063673,-0.175994,0.203,0.19,137.0,14.907,14.182,11.661,8.237,,,,0.04,0.062,0.305,,,,,3554100001241008070,0,0,00nn,AABU,,0.122444,355.063631,-0.176054,0.084,0.075,90.0,1237645877943140716,2,,6,J234015.27-001033.7,,105624251797848,1998.7168,3,22.22,0.269,21.932,0.099,21.296,0.09,20.349,0.063,19.462,0.112,,,,,,,,,,,0,,,,0.264532
213,355.196644,-0.551553,22.7686,21.1931,20.181984,19.57212,18.883665,18.394823,18.40211,18.415436,3.1964796,1.6209791,1.1772975,2.7982764,-999.0,-999.0,-999.0,0,none,J234047.19-003305.5,355.196644,-0.551553,0.307,0.278,125.0,15.504,15.19,11.211,7.949,,,,0.055,0.12,0.185,0.211,,,,3554100001241004130,0,0,1100,ABBB,,0.496348,355.196634,-0.55155,0.273,0.071,0.0,1237663740171387518,2,,3,J234047.19-003305.5,,68987912448,2003.8827,3,23.833,1.185,23.274,0.399,21.055,0.087,20.327,0.069,19.661,0.132,,,,,,,,,,,0,,,,0.036671
214,355.444212,-0.635802,22.6612,21.3805,20.44949,19.833729,19.340961,18.774496,18.641905,18.64007,2.8274705,1.5467718,1.0592326,2.6060042,-999.0,-999.0,-999.0,0,none,J234146.61-003808.8,355.444212,-0.635802,0.375,0.332,123.0,15.822,15.273,11.124,8.62,,,,0.068,0.126,0.164,0.452,,,,3554100001241002937,0,0,0n1n,ABBC,,1.133111,355.444079,-0.635941,0.217,0.177,0.0,1237666647882924490,2,,3,J234146.57-003809.3,,281640601387264,2004.8439,2,25.29,1.713,22.492,0.246,21.271,0.136,20.504,0.103,20.862,0.488,,,,,,,,,,,0,,,,0.690698
215,355.801669,0.038035,23.1499,21.4187,20.264511,19.694263,19.247816,18.549038,18.228247,18.035093,3.4556367,1.7244356,1.1452254,2.8696609,-999.0,-999.0,0.415?,Gemini18B,AGN,J234312.40+000216.9,355.801669,0.038035,0.28,0.256,124.0,15.581,14.493,11.648,8.365,,,,0.058,0.068,0.292,,,,,3554100001241014724,0,0,10nn,AABU,,0.189375,355.801673,0.038028,0.221,0.153,0.0,1237666648956797440,2,,3,J234312.40+000216.8,*,35191083110416,2004.8439,2,23.893,1.602,24.264,0.905,21.149,0.113,20.685,0.109,19.87,0.233,,,,,,,,,,,0,,,,0.029255
216,355.865041,-0.563346,23.1697,21.6726,20.06199,20.018776,19.466085,18.889189,18.226269,18.054785,3.1509244,1.6538236,1.129587,2.7834105,-999.0,-999.0,-999.0,0,none,J234327.60-003348.0,355.865041,-0.563346,0.335,0.298,117.0,15.845,14.751,11.535,8.518,,,,0.067,0.08,0.228,0.35,,,,3554100001241001604,0,0,01nn,AABB,,0.30164,355.865075,-0.563388,0.089,0.062,0.0,1237656906890150321,2,,3,J234327.61-003348.1,,68987912448,2001.7887,3,24.372,1.222,22.981,0.212,21.308,0.078,20.579,0.063,19.963,0.139,,,,,,,,,,,0,,,,0.196628
217,356.077814,-0.602576,23.5552,22.2729,20.406754,20.008617,19.367893,18.816364,18.055857,18.073925,3.546583,2.264282,1.192253,3.4565349,-999.0,-999.0,-999.0,0,none,J234418.67-003609.2,356.077814,-0.602576,0.249,0.234,124.0,15.353,14.706,12.291,8.283,,,,0.047,0.079,0.412,0.277,,,,3554100001241000115,0,0,00nn,AACB,,0.61256,356.077894,-0.602692,0.233,0.152,90.0,1237666660766253328,2,,3,J234418.69-003609.6,,35255507484944,2004.8466,3,24.503,1.104,25.367,0.706,22.295,0.184,21.481,0.123,20.237,0.166,,,,,,,,,,,0,,,,0.507106
218,356.428748,-0.301804,23.4904,21.5446,20.062492,20.01014,19.396074,18.768414,18.729773,18.819674,3.4802606,1.5344598,1.2417258,2.7761855,-999.0,-999.0,-999.0,0,none,J234542.89-001806.4,356.428748,-0.301804,0.42,0.372,122.0,15.99,15.938,11.871,8.666,,,,0.07,0.215,0.29,0.364,,,,3569100001241007531,0,0,0nnn,ABBC,,0.142586,356.428798,-0.30189,0.155,0.105,0.0,1237667103668240901,2,,3,J234542.91-001806.8,*,140806476402944,2004.9449,2,25.147,1.291,23.295,0.392,21.719,0.142,20.555,0.074,19.958,0.198,,,,,,,,,,,0,,,,0.359334
219,356.675643,0.201968,22.3867,21.927,19.524292,19.42613,18.730734,18.419031,18.601303,18.698864,2.9605691,2.5008695,1.007099,3.5079684,-999.0,-999.0,-999.0,Gemini18B,??,J234642.15+001207.0,356.675643,0.201968,0.373,0.342,121.0,15.75,15.647,12.411,8.905,,,,0.063,0.171,,0.536,,,,3569100001241022593,0,0,1nnn,ABUC,,0.425221,356.675589,0.201983,0.068,0.058,90.0,1237646011618558234,2,,3,J234642.14+001207.1,,19974081090376,1998.7332,3,24.261,1.912,21.427,0.099,20.404,0.06,19.728,0.045,18.978,0.099,,,,,,,-13.1,5.3,3.6,5.3,0,,,,0.20179
220,356.701384,0.82244,22.5014,21.4157,19.98606,19.813034,19.08719,18.698067,18.08767,18.115824,2.6883657,1.6026666,1.1149672,2.7176337,-999.0,-999.0,-999.0,NIRES092318,none,J234648.33+004920.7,356.701384,0.82244,0.302,0.278,125.0,15.559,14.771,12.131,8.78,,,,0.056,0.091,,,,,,3569101501241004406,0,0,21nn,AAUU,,0.467131,356.701403,0.822438,0.152,0.12,90.0,1237666340253991748,2,,3,J234648.33+004920.7,*,68987912448,2004.7319,3,22.727,0.817,22.047,0.246,21.261,0.13,20.184,0.067,19.63,0.118,,,,,,,,,,,0,,,,0.067482
221,356.712991,0.84372,22.4964,21.4684,19.971027,19.481907,18.95459,18.613375,17.799837,17.882986,3.0144937,1.9864919,0.86853206,2.8550239,-999.0,-999.0,0.866,NIRES080318,QSO,J234651.11+005037.3,356.712991,0.84372,0.237,0.219,119.0,15.125,14.497,11.876,8.346,,,,0.046,0.073,0.367,,,,,3569101501241004360,0,0,00nn,AACU,,0.622543,356.713002,0.84367,0.079,0.073,0.0,1237663716549788077,2,,3,J234651.12+005037.2,*,68988043520,2003.8745,3,22.974,0.582,21.972,0.11,21.328,0.097,20.115,0.051,19.628,0.12,,,,,,,-55.2,13.9,31.8,13.9,0,,,,0.1828
222,356.743401,-0.635102,23.2825,22.2705,20.37071,19.330584,18.322947,17.262726,15.530456,14.790944,3.9519155,2.9399164,2.0678577,5.007774,-999.0,-999.0,-999.0,0,none,J234658.41-003806.3,356.743401,-0.635102,0.074,0.07,148.0,13.073,11.425,8.313,6.397,,,,0.024,0.022,0.022,0.058,,,,3569100001241004495,0,0,1111,AAAA,,0.144887,356.743421,-0.635102,0.157,0.136,0.0,1237659754442392198,2,,3,J234658.42-003806.3,*,35191082975504,2002.6785,1,23.366,0.987,26.11,0.724,22.151,0.198,21.192,0.133,20.286,0.226,,,,,,,,,,,0,,,,0.070561
223,356.942685,0.288453,23.0721,21.4338,20.609291,19.83519,19.534754,18.58587,19.20618,19.183153,3.2369096,1.5986097,1.249319,2.8479285,-999.0,-999.0,-999.0,0,none,J234746.24+001718.4,356.942685,0.288453,0.537,0.482,125.0,16.233,16.099,12.397,8.881,,,,0.088,0.254,,,,,,3569100001241023898,0,0,0nnn,ABUU,,0.598203,356.942787,0.288459,0.188,0.109,90.0,1237663462073106901,2,,3,J234746.26+001718.4,,246396099887448,2003.7952,3,24.515,1.657,24.664,0.874,21.492,0.111,20.763,0.082,20.044,0.198,,,,,,,,,,,0,,,,0.367625
224,357.051232,-0.836732,22.609,21.1276,20.083197,19.416544,18.921864,18.507973,18.828014,18.737932,3.192455,1.7110555,0.9085711,2.6196265,-999.0,-999.0,-999.0,0,none,J234812.29-005012.2,357.051232,-0.836732,0.461,0.418,127.0,16.138,15.568,12.318,8.797,,,,0.08,0.152,0.394,,,,,3569001601241031736,0,0,11nn,ABCU,,0.36977,357.051284,-0.83682,0.089,0.061,90.0,1237653011361432322,2,,3,J234812.30-005012.5,*,35255507484944,2000.7539,3,23.505,1.365,22.613,0.29,20.997,0.079,20.1,0.057,19.722,0.163,,,,,,,,,,,0,,,,0.368929
225,357.299472,-0.21697,22.8922,21.497,20.11763,19.51373,19.131657,18.746956,19.407831,19.131176,3.3784711,1.9832704,0.7667731,2.7500434,-999.0,-999.0,-999.0,0,none,J234911.87-001301.0,357.299472,-0.21697,0.672,0.591,117.0,16.843,15.811,11.198,8.766,,,,0.143,0.202,0.145,0.416,,,,3569100001241011647,0,0,nn1n,BBBC,,0.456204,357.299439,-0.216911,0.078,0.061,90.0,1237659754979524916,2,,3,J234911.86-001300.8,*,68987912448,2002.6785,1,24.88,1.286,22.623,0.182,21.508,0.094,20.756,0.076,20.183,0.19,,,,,,,,,,,0,,,,0.241619
226,357.3372,0.029,23.6576,22.1485,20.174185,19.63071,19.269247,18.885256,18.376717,18.006044,4.0268893,2.5177896,0.74545467,3.2632442,-999.0,-999.0,-999.0,0,none,J234920.92+000144.3,357.3372,0.029,0.332,0.299,128.0,15.838,14.609,11.361,8.283,,,,0.068,0.078,0.177,0.27,,,,3569100001241015724,0,0,20nn,AABB,,0.577646,357.337188,0.029,0.095,0.094,0.0,1237663526517146410,2,,6,J234920.92+000144.4,*,140806476398848,2003.809,3,24.739,1.031,24.132,0.406,22.388,0.168,21.059,0.073,20.107,0.14,,,,,,,,,,,0,,,,0.041468
227,357.444478,0.082805,23.916,22.1409,20.290226,19.628986,19.419092,18.879122,17.924667,18.002878,4.2870135,2.511913,0.74986446,3.2617774,-999.0,-999.0,-999.0,0,none,J234946.67+000458.0,357.444478,0.082805,0.26,0.242,135.0,15.306,14.653,11.984,9.004,,,,0.048,0.081,,,,,,3569100001241015653,0,0,11nn,AAUU,,0.530115,357.444568,0.082792,0.204,0.142,90.0,1237659905856897703,2,,3,J234946.69+000458.0,,281543964754688,2002.7606,3,24.155,4.416,22.476,0.542,20.729,0.164,19.926,0.122,20.059,0.621,,,,,,,,,,,0,,,,0.328689
228,357.764416,-0.227458,23.2486,22.1326,20.623657,20.11738,19.562437,18.899805,18.02873,18.040573,3.1312196,2.0152204,1.217575,3.2327952,-999.0,-999.0,-999.0,0,none,J235103.45-001338.8,357.764416,-0.227458,0.278,0.252,123.0,15.515,14.682,11.746,8.696,,,,0.053,0.079,0.258,,,,,3584100001241007242,0,0,00nn,AABU,,0.052164,357.764407,-0.227473,0.089,0.078,0.0,1237663276853035833,2,,3,J235103.45-001338.9,,68987912960,2003.7407,3,22.697,0.522,22.741,0.262,21.483,0.121,20.732,0.095,20.25,0.259,,,,,,,,,,,0,,,,0.060833
229,357.855354,-0.103317,23.3304,22.4066,20.594193,19.302832,18.849758,18.310598,18.078878,17.900877,4.0275683,3.103769,0.99223316,4.096002,-999.0,-999.0,-999.0,0,none,J235125.28-000611.9,357.855354,-0.103317,0.247,0.22,119.0,15.374,14.595,10.617,8.32,,,,0.05,0.075,0.092,0.313,,,,3584100001241021291,0,0,011n,AAAB,,0.466137,357.855366,-0.103302,0.064,0.062,0.0,1237657104984965937,2,,6,J235125.28-000611.8,,281543964623104,2001.865,3,25.056,0.66,24.153,0.386,22.404,0.147,22.31,0.224,20.84,0.216,,,,,,,,,,,0,,,,0.067392
231,358.557724,-0.996584,23.747,21.9869,20.246544,20.294317,19.348541,18.862354,18.756699,18.797974,3.4526823,1.6925828,1.4319628,3.1245456,-999.0,-999.0,-999.0,Gemini,none,J235413.85-005947.7,358.557724,-0.996584,0.517,0.474,123.0,16.114,16.282,12.408,8.885,,,,0.083,0.344,,,,,,3584001601241031530,0,0,0nnn,ABUU,,0.405623,358.557775,-0.99661,0.129,0.107,90.0,1237656850509333099,2,,3,J235413.86-005947.7,,68987912960,2001.7859,3,24.245,1.158,23.315,0.312,21.772,0.121,20.921,0.09,20.128,0.177,,,,,,,,,,,0,,,,0.20659
232,358.685991,0.665087,23.0312,22.0909,20.350735,19.848028,19.25468,18.853582,17.807272,17.680412,3.183172,2.242872,0.9944457,3.2373176,-999.0,-999.0,-999.0,0,none,J235444.63+003954.3,358.685991,0.665087,0.219,0.196,124.0,15.228,14.356,10.707,7.556,,,,0.047,0.06,0.095,0.14,,,,3584100001241032024,0,0,110,AAAB,,0.280128,358.685999,0.665063,0.146,0.143,90.0,1237660009474032550,2,,3,J235444.63+003954.2,,281543964754176,2002.7743,3,22.165,0.387,22.814,0.284,22.505,0.307,21.616,0.242,19.826,0.179,,,,,,,,,,,0,,,,0.090633
233,358.69515,-0.738209,22.8219,22.169,20.728575,20.110823,19.538248,18.31124,16.67346,16.039476,2.7110765,2.0581777,1.7995833,3.857761,-999.0,-999.0,?,Gemini,QSO,J235446.83-004417.5,358.69515,-0.738209,0.106,0.102,113.0,14.218,12.678,9.652,7.012,,,,0.032,0.027,0.043,0.084,,,,3584100001241001559,0,0,11,AAAA,,0.076603,358.695137,-0.738227,0.085,0.065,0.0,1237663714403156506,2,,3,J235446.83-004417.6,*,68987912960,2003.8745,3,23.848,0.669,23.212,0.204,22.056,0.113,21.502,0.099,20.424,0.133,,,,,,,,,,,0,,,,0.081268
234,358.891212,-0.202689,22.9461,21.5711,19.596655,19.306894,18.85487,18.12852,16.99459,16.607683,3.6392057,2.2642057,1.1783751,3.4425807,-999.0,-999.0,-999.0,0,none,J235533.89-001209.6,358.891212,-0.202689,0.147,0.135,127.0,14.531,13.149,10.839,8.589,,,,0.038,0.034,0.112,0.347,,,,3584100001241011259,0,0,30nn,AABB,,0.561905,358.891242,-0.202744,0.059,0.056,90.0,1237660008400421266,2,,6,J235533.89-001209.8,*,35253360001296,2002.7743,3,26.163,0.668,22.609,0.192,21.053,0.072,20.135,0.049,19.896,0.161,,,,,,,,,,,0,,,,0.226773
235,358.90369,-0.266367,22.1121,21.2792,19.77395,19.534441,19.194342,18.671068,18.602219,18.268713,2.5776594,1.7447584,0.8633727,2.608131,-999.0,-999.0,-999.0,0,none,J235536.88-001558.9,358.90369,-0.266367,0.378,0.348,117.0,15.828,14.952,11.895,8.36,,,,0.073,0.101,0.271,0.264,,,,3584100001241011412,0,0,00nn,AABB,,1.295566,358.903713,-0.266681,0.12,0.098,0.0,1237650009708036322,2,,6,J235536.89-001600.0,*,35255507619856,1999.7903,2,22.905,0.749,22.068,0.139,21.453,0.118,20.487,0.074,19.747,0.155,,,,,,,,,,,0,,,,1.134979
236,358.939431,-0.189284,22.4901,22.6377,20.820984,20.213734,18.977888,18.047157,17.674706,17.11865,2.276367,2.4239652,2.1665764,4.5905414,25.24,-999.0,2.53,Gemini,QSO,J235545.46-001121.4,358.939431,-0.189284,0.174,0.159,117.0,15.168,13.747,9.848,7.463,,,,0.047,0.043,0.049,0.145,,,,3584100001241011300,0,0,100n,AAAB,,0.42961,358.939476,-0.189311,0.11,0.11,90.0,1237656907428332317,2,,3,J235545.47-001121.5,,281543964623104,2001.7887,3,23.038,0.6,22.023,0.117,22.51,0.263,22.463,0.384,21.434,0.604,,,,,,,,,,,0,,,,0.188723
237,359.193455,-0.939468,23.693,22.7535,20.780567,19.689388,19.182117,18.623104,17.578903,17.09441,4.003612,3.0641115,1.0662841,4.1303954,-999.0,-999.0,0.876,Gemini,QSO,J235646.42-005622.0,359.193455,-0.939468,0.195,0.183,124.0,15.082,13.822,11.489,8.638,,,,0.044,0.046,0.194,0.379,,,,3584001601241028670,0,0,11nn,AABC,,0.117633,359.193458,-0.939455,0.14,0.125,90.0,1237657189831082879,2,,3,J235646.43-005622.0,*,246396099887376,2001.8815,3,23.22,0.612,23.515,0.393,22.167,0.172,21.244,0.114,20.072,0.152,,,,,,,,,,,0,,,,0.049853
238,359.41021,0.761554,24.2575,22.233,20.239206,20.153868,19.7104,18.63258,17.57046,17.1792,4.1036315,2.0791318,1.5212878,3.6004195,-999.0,-999.0,0.467,Gemini,QSO/AGN,J235738.45+004541.5,359.41021,0.761554,0.185,0.169,126.0,15.038,13.901,10.848,7.957,,,,0.042,0.046,0.108,0.187,,,,101501241005816,0,0,111n,AAAB,,0.096345,359.410214,0.761536,0.071,0.056,0.0,1237657191978697593,1,+,3,J235738.45+004541.5,*,68987912704,2001.8815,3,24.786,0.752,23.791,0.317,22.072,0.11,21.263,0.086,20.67,0.168,,,,0.51355,0.04344,0.51141,,,,,0,,,,0.065313
239,359.66666,-0.816044,23.1612,21.356,20.390093,19.708775,19.160656,18.689625,18.879488,18.875639,3.4524248,1.6472261,1.0191497,2.6663756,-999.0,-999.0,-999.0,0,none,J235839.99-004857.7,359.66666,-0.816044,0.415,0.384,119.0,15.882,15.791,12.355,8.998,,,,0.068,0.211,,,,,,1601241033130,0,0,0nnn,ABUU,,0.137497,359.666685,-0.816035,0.193,0.191,90.0,1237666647884759514,2,,3,J235840.00-004857.7,,68988047616,2004.8439,2,22.469,0.583,22.582,0.295,21.155,0.131,20.631,0.122,19.584,0.163,,,,,,,,,,,0,,,,0.094865
240,359.748712,-0.342066,24.1739,22.1638,20.292862,20.045828,19.23095,18.689875,17.564264,17.57074,4.1280723,2.1179712,1.3559531,3.4739242,-999.0,-999.0,-999.0,NIRES091818,none,J235859.69-002031.4,359.748712,-0.342066,0.227,0.213,138.0,15.137,14.396,11.83,8.778,,,,0.043,0.068,0.278,0.417,,,,100001241008596,0,0,01nn,AABC,,0.317938,359.748723,-0.342096,0.106,0.104,0.0,1237663525981324216,2,,3,J235859.69-002031.5,*,281543964754688,2003.809,3,26.198,0.578,23.797,0.458,22.476,0.239,21.155,0.11,20.597,0.266,,,,,,,,,,,0,,,,0.115199
241,359.773628,-0.293935,23.0456,21.4479,20.192467,19.723139,19.098528,18.637936,19.01207,18.926954,3.3224618,1.7247617,1.085203,2.8099647,-999.0,-999.0,-999.0,NIRES092218,none,J235905.67-001738.1,359.773628,-0.293935,0.573,0.523,128.0,16.286,15.544,12.215,8.781,,,,0.1,0.177,0.422,0.483,,,,100001241008851,0,0,1nnn,ABCC,,0.034923,359.773593,-0.293966,0.175,0.137,90.0,1237666648421695996,2,,6,J235905.66-001738.2,*,281543964623104,2004.8439,2,22.998,0.709,23.392,0.454,21.426,0.125,20.75,0.094,20.499,0.285,,,,,,,,,,,0,,,,0.168229
242,359.830899,0.092075,23.0784,21.6486,20.024931,19.888184,19.825838,18.824001,18.114698,17.913889,3.1902158,1.7604158,1.0641822,2.8245978,-999.0,-999.0,-999.0,0,none,J235919.41+000531.4,359.830899,0.092075,0.264,0.235,124.0,15.512,14.56,11.217,8.172,,,,0.054,0.069,0.143,0.215,,,,100001241019428,0,0,01nn,AABB,,0.449173,359.830775,0.092133,0.093,0.086,90.0,1237672843353719109,2,,3,J235919.38+000531.6,,158398662443776,2006.7168,3,22.963,0.601,22.882,0.203,21.587,0.095,20.637,0.069,20.128,0.159,,,,,,,,,,,0,,,,0.492814
243,359.921201,-0.107033,21.9948,21.9932,20.402294,19.903374,18.932192,18.458908,17.99646,17.593521,2.0914266,2.0898263,1.4444655,3.5342917,-999.0,-999.0,-999.0,Gemini18B,none,J235941.08-000625.3,359.921201,-0.107033,0.219,0.2,120.0,15.395,14.206,10.418,7.811,,,,0.05,0.054,0.081,0.167,,,,100001241018097,0,0,300n,AAAB,,0.456077,359.921209,-0.106983,0.135,0.096,0.0,1237663203840360995,2,,3,J235941.09-000625.1,*,281543964754176,2003.7352,3,23.489,0.779,22.041,0.102,21.825,0.13,22.254,0.279,20.774,0.313,,,,,,,,,,,0,,,,0.181129
