ra,dec,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,zsp,spCl
183.6101626,14.6452962,19.681,0.032,18.329,0.007,17.756,0.006,17.309,0.006,17.083,0.015,15.933,0.07,15.242,0.107,14.407,0.067,12.544,0.023,11.482,0.021,9.115,0.036,6.992,0.095,0.50129,redQSO
185.070283,11.4411685,20.331,0.051,19.059,0.011,18.128,0.008,17.453,0.007,17.124,0.012,15.544,0.069,14.636,0.061,13.826,0.06,12.624,0.023,11.43,0.022,7.842,0.022,5.602,0.039,1.89534,redQSO
188.171448,11.2163231,20.884,0.126,19.862,0.021,18.717,0.012,18.374,0.012,17.963,0.028,16.772,0.195,15.474,0.141,14.261,0.084,12.407,0.022,11.062,0.021,8.33,0.023,5.6,0.05,0.25,redQSO
190.550508,4.6783254,22.367,0.389,21.861,0.086,20.42,0.037,19.245,0.022,18.65,0.044,16.676,0.174,15.677,0.134,14.677,0.122,13.02,0.025,11.761,0.022,8.899,0.032,6.691,0.088,0.63,redQSO
191.7703505,1.1074517,21.132,0.101,19.87,0.016,18.911,0.011,18.379,0.01,18.185,0.027,16.412,0.133,15.713,0.127,14.658,0.112,13.77,0.026,12.793,0.027,10.268,0.074,7.739,0.19,0.187,redQSO
192.1965253,5.5253154,21.534,0.157,21.028,0.042,20.658,0.043,20.338,0.051,19.828,0.111,18.082,,16.304,0.242,14.629,0.12,12.257,0.022,10.879,0.02,8.089,0.021,5.906,0.046,0.749,redQSO
192.6723006,13.3151201,20.985,0.1,19.703,0.015,18.437,0.008,18.203,0.009,17.69,0.018,16.546,0.127,15.567,0.132,14.427,0.061,13.18,0.025,12.252,0.024,9.896,0.06,7.244,0.108,0.3,redQSO
193.0538099,7.2512947,22.195,0.215,21.639,0.068,21.367,0.076,20.582,0.055,19.516,0.075,17.885,,15.78,0.142,14.496,0.096,13.635,0.026,12.65,0.026,8.816,0.027,6.095,0.056,2.17,redQSO
194.8130727,7.496623,21.978,0.171,20.109,0.017,18.948,0.011,18.378,0.009,17.922,0.02,16.702,0.184,15.687,0.136,14.639,0.132,13.02,0.025,11.679,0.022,8.693,0.027,6.383,0.062,0.86168,redQSO
198.3643974,14.8940431,21.898,0.243,21.374,0.069,20.151,0.039,18.934,0.019,18.35,0.046,16.781,0.153,15.585,0.109,14.478,0.062,12.583,0.023,11.456,0.021,8.975,0.03,6.565,0.066,0.584,redQSO
200.5424155,8.7091412,20.668,0.081,20.179,0.026,19.208,0.015,18.71,0.014,18.376,0.034,16.657,0.151,15.606,0.113,14.648,0.107,13.29,0.025,12.261,0.023,9.348,0.034,6.967,0.077,0.325,redQSO
201.2930108,13.2112743,21.746,0.249,19.705,0.018,18.696,0.011,18.135,0.01,17.81,0.023,16.693,0.13,15.614,0.118,14.668,0.083,13.178,0.025,12.061,0.022,9.239,0.03,7.03,0.085,0.146,redQSO
204.9150509,3.5194098,19.827,0.038,19.05,0.011,18.08,0.008,17.648,0.007,17.459,0.018,16.107,0.11,15.479,0.121,14.588,0.105,12.952,0.024,11.924,0.023,9.065,0.03,6.331,0.051,0.24131,redQSO
205.1652953,5.2388082,20.832,0.099,19.944,0.024,19.065,0.016,18.523,0.016,17.735,0.026,16.163,0.115,14.801,0.082,13.255,0.038,11.575,0.023,10.389,0.02,7.691,0.018,5.174,0.029,0.26414,redQSO
205.4628088,8.5868231,21.907,0.337,19.938,0.025,18.742,0.014,18.051,0.012,17.802,0.03,16.809,0.201,15.472,0.11,14.401,0.102,13.156,0.024,11.914,0.022,9.117,0.03,7.018,0.078,0.227,redQSO
208.26764,2.5032832,20.22,0.051,19.16,0.01,18.154,0.007,17.555,0.007,17.34,0.015,15.998,0.084,15.037,0.073,13.811,0.055,12.143,0.022,10.979,0.02,7.959,0.02,5.565,0.032,0.22,redQSO
209.9473047,10.5551396,21.519,0.285,19.62,0.025,18.14,0.011,17.665,0.011,16.998,0.02,16.201,0.119,14.944,0.072,13.596,0.053,11.806,0.024,10.709,0.02,8.096,0.02,5.755,0.038,0.283,redQSO
219.8373336,11.6014969,20.758,0.111,19.741,0.02,18.633,0.012,18.103,0.01,17.289,0.016,16.193,0.096,14.962,0.059,13.673,0.053,11.768,0.023,10.679,0.02,8.38,0.022,5.813,0.04,0.296,redQSO
