,RA,DEC,U_mag,G_mag,R_mag,I_mag,Z_mag,J_mag,H_mag,K_mag,W1mag,W2mag,class
161,16.35656929,0.188873187,23.168158,22.833471,21.453838,19.782694,19.623447,19.348618,19.004725,18.8384,17.806923,18.036625,faint_Galaxy
148,353.2055969,0.299394578,23.38734,22.13875,21.55763,21.007866,20.834251,20.545486,20.103458,19.177685,18.841984,19.036077,faint_Galaxy
47,26.50476074,-0.263437659,24.290459,23.66269,22.4993,21.809309,20.986202,20.334734,19.989096,20.033342,19.235432,19.15334,faint_Galaxy
172,27.0032959,-0.090697065,23.37847,22.605515,21.404335,20.937593,20.723778,20.427755,20.44805,19.866684,20.131346,20.089808,faint_Galaxy
145,17.97325325,-0.239418402,23.150434,22.404146,21.611097,20.84894,20.476202,19.826433,20.043886,19.281437,18.926916,18.993067,faint_Galaxy
131,18.76493835,-0.20186244,23.01202,22.605299,21.764284,21.359875,21.120234,20.629063,20.518076,20.124222,20.881401,20.805435,faint_Galaxy
212,18.67336082,0.343475014,24.790815,22.318344,21.009417,20.220394,19.765003,19.196344,18.772442,18.570055,18.4239,18.534578,faint_Galaxy
106,26.84301376,-0.272740424,22.702505,22.779694,21.916605,21.453905,20.821936,20.213383,19.687344,19.294207,18.45555,18.598375,faint_Galaxy
133,19.49443626,0.074346408,22.73869,22.323051,21.748722,21.482988,21.186008,20.728153,20.01443,21.026459,19.46618,19.545021,faint_Galaxy
142,14.24290752,-0.442502469,22.797163,22.221413,21.648077,21.159313,20.725573,20.030107,20.318884,19.628492,18.971712,18.89944,faint_Galaxy
178,15.45355701,-0.238619328,23.552858,22.578203,21.360685,20.42447,19.946587,19.333792,19.183783,18.781597,18.080078,18.03823,faint_Galaxy
34,21.58712769,0.189430237,23.517653,23.587305,22.663984,21.732374,21.241209,21.114887,20.513853,20.037561,19.733725,19.748259,faint_Galaxy
59,18.83683395,0.378810287,23.203354,22.988783,22.385725,21.897655,21.31473,20.920294,20.699192,19.63235,18.678888,18.385191,faint_Galaxy
95,2.618749584,0.827784117,24.40368,23.172693,22.023766,21.07081,20.695042,20.42218,19.811768,19.499994,19.69968,19.385181,faint_Galaxy
64,25.80954933,0.122183226,22.979967,22.495365,22.34317,21.601326,21.316587,20.62831,20.478205,20.281883,19.694496,19.982918,faint_Galaxy
96,351.7170715,-0.00970215,22.690945,22.609478,22.021963,21.53936,21.143478,20.687508,20.007,19.453814,19.285769,19.67144,faint_Galaxy
124,10.88653165,-0.100803962,23.054556,22.619246,21.807846,21.040962,20.482065,19.74337,19.577375,19.495602,18.781206,18.647768,faint_Galaxy
119,353.4268188,-0.353967965,22.953596,22.443666,21.848042,21.054071,20.45701,19.811153,19.706331,19.291838,18.545387,18.6655,faint_Galaxy
107,27.70014381,-0.299008489,22.909815,22.402187,21.896496,21.050123,20.666609,19.795193,19.54639,18.981422,17.913048,17.927223,faint_Galaxy
14,16.22970581,-0.441143364,23.64579,24.142212,23.090075,21.953102,21.153017,20.537573,20.10877,20.119324,19.18029,19.352509,faint_Galaxy
153,15.23472977,0.376953125,24.519512,22.480028,21.501513,20.484474,19.898718,19.452974,19.274483,18.731487,18.381382,18.864353,faint_Galaxy
82,19.11276245,0.162106097,22.998198,22.986835,22.174395,21.469717,21.022154,21.214348,20.633265,20.313076,19.502136,19.583282,faint_Galaxy
127,25.80626869,-0.125028983,22.54373,22.193281,21.789557,21.352993,21.01794,21.027332,20.423496,20.379843,19.91212,20.074848,faint_Galaxy
160,17.5070858,0.083886176,22.832495,22.254108,21.459074,20.741518,20.352367,19.882223,19.309322,19.016285,18.664822,18.696014,faint_Galaxy
33,26.31300163,-0.102866024,28.536663,24.199265,22.665369,21.337431,20.624115,20.225813,19.75897,19.212687,18.98399,19.303768,faint_Galaxy
81,27.65896606,-0.236437127,23.526724,22.657936,22.188078,21.57145,21.461788,21.426142,21.064888,20.81724,20.137041,19.674582,faint_Galaxy
