,data,RA,DEC,U_mag,G_mag,R_mag,I_mag,Z_mag,J_mag,K_mag,W1mag,W2mag,redshift,class
36,red_QSO,201.2930108,13.211274300000001,21.746,19.705,18.695999999999998,18.135,17.81,16.692999999999998,14.668,13.177999999999999,12.061,0.146,redQSO
37,red_QSO,204.9150509,3.5194098,19.827,19.05,18.08,17.648,17.459,16.107,14.588,12.952,11.924000000000001,0.24131,redQSO
38,red_QSO,205.16529530000003,5.2388082,20.831999999999997,19.944000000000003,19.065,18.523,17.735,16.163,13.255,11.575,10.389000000000001,0.26414,redQSO
39,red_QSO,205.46280880000003,8.5868231,21.906999999999996,19.938,18.742,18.051,17.802,16.809,14.401,13.155999999999999,11.914000000000001,0.22699999999999998,redQSO
40,red_QSO,208.26764,2.5032832000000003,20.22,19.16,18.154,17.555,17.34,15.998,13.811,12.142999999999999,10.979000000000001,0.22,redQSO
41,red_QSO,209.9473047,10.555139599999999,21.519000000000002,19.62,18.14,17.665,16.998,16.201,13.595999999999998,11.806,10.709000000000001,0.28300000000000003,redQSO
42,red_QSO,219.83733360000002,11.601496899999999,20.758000000000003,19.741,18.633,18.102999999999998,17.289,16.192999999999998,13.673,11.767999999999999,10.679,0.29600000000000004,redQSO
43,red_QSO,219.8746389,8.979545199999999,20.96,20.613000000000003,19.472,18.345,17.715,16.041,14.548,13.105,11.602,1.7590000000000001,redQSO
44,red_QSO,222.039727,5.6720161,20.322,19.48,18.403,18.24,17.492,16.244,14.18,12.698,11.456,0.28284000000000004,redQSO
45,red_QSO,223.15542889999998,8.8488092,21.958000000000002,19.983,18.497,18.006,17.117,15.918,14.14,12.317,11.114,0.307,redQSO
46,red_QSO,224.5429918,6.577641099999999,22.78,20.714000000000002,19.189,18.645,18.063,17.134,14.219000000000001,11.960999999999999,10.76,0.337,redQSO
47,red_QSO,225.05591859999998,12.6125616,21.445999999999998,20.266,19.238,18.506,17.97,16.805,14.61,13.036,11.695,0.40700000000000003,redQSO
48,red_QSO,225.9862454,12.9873074,20.398,19.455,18.21,17.684,17.491,16.129,14.505,13.354000000000001,12.401,0.22,redQSO
49,red_QSO,225.98811030000002,4.3156455000000005,20.877,19.742,18.679000000000002,18.168,17.62,16.439,14.439,12.873,11.665,0.405,redQSO
50,red_QSO,226.9421393,9.625342,20.115,19.129,17.913,17.371,17.031,15.752,14.125,12.754000000000001,11.402000000000001,1.274,redQSO
51,red_QSO,227.0217781,14.1459636,20.178,19.203,18.304000000000002,17.958,17.53,15.866,14.66,13.167,11.981,0.9093600000000001,redQSO
52,red_QSO,230.7318531,3.0363372,21.186,19.601,18.419,17.803,17.567,16.31,13.897,12.41,11.365,0.223,redQSO
53,red_QSO,233.02630809999997,6.2772517,20.828000000000003,19.344,18.590999999999998,18.066,17.56,16.413,14.497,12.499,11.359000000000002,0.42301000000000005,redQSO
54,red_QSO,233.3924799,7.584910000000001,25.162,22.656,20.840999999999998,19.521,18.51,16.98,14.443,13.27,11.943,0.785,redQSO
55,red_QSO,235.59583650000002,12.987041900000001,23.962,23.958000000000002,21.599,20.886999999999997,19.824,16.250999999999998,14.53,13.722999999999999,12.975999999999999,2.52,redQSO
56,red_QSO,237.76161319999997,8.7336729,25.314,22.456999999999997,20.651999999999997,19.551,18.548,16.707,14.142000000000001,13.37,12.16,2.511342,redQSO
57,red_QSO,238.5480284,10.2560425,22.248,20.622,19.034000000000002,18.338,17.599,16.445,14.110999999999999,12.52,11.588,0.31315,redQSO
58,red_QSO,238.733069,7.235570699999999,22.182,20.539,19.237000000000002,18.719,18.147000000000002,16.685,14.404000000000002,12.542,11.48,0.34700000000000003,redQSO
59,red_QSO,239.7190962,15.508807199999998,19.465,18.590999999999998,17.596,17.191,16.604,15.417,13.539000000000001,11.988,11.09,0.26,redQSO
60,red_QSO,311.60877830000004,0.3937948,20.005,18.988,18.012,17.878,17.229,15.934000000000001,13.683,12.056,10.843,0.33203,redQSO
61,red_QSO,331.443069,0.8886953000000002,21.265,19.548,18.143,17.587,16.976,15.787,13.352,11.967,10.822000000000001,0.28451,redQSO
62,red_QSO,334.1405222,-0.9143571,21.155,19.55,18.256,17.572,17.305,15.917,13.735999999999999,12.27,11.254000000000001,0.2,redQSO
