,counter,RA,DEC,U_mag,G_mag,R_mag,I_mag,Z_mag,J_mag,K_mag,W1mag,W2mag,gj,rj,jk,rk,Fpk,Hpk,redshift,specObjID,class,JNAME,W3mag,W4mag,cntr,cc_flags,var_flg,ph_qual,angDist,objID,mode,q_mode,class_x,SDSS12,m_SDSS12,flags,ObsDate,Q,SpObjID,spType,spCl,subClass,data,designation,spectrum,ug,ur,ui,uz,uj,uk,uw1,uw2,gr,gi,gz,gk,gw1,gw2,ri,rz,rw1,rw2,iz,ij,ik,iw1,iw2,zj,zk,zw1,zw2,jw1,jw2,kw1,kw2,w1w2,class_cleaned
0,2.0,00:00:15.00,-00:34:43.5,25.203,24.2109,22.2703,20.571,19.78,19.78327,18.481094,17.63439,17.652925,4.427629999999997,2.487029999999997,1.3021760000000029,3.789206,-999.0,-999.0,-999.0,Gemini,none,J000015.00-003443.6,12.246,8.835,100001241002999.0,0000,00nn,AAUU,0.205547,1.2376602354956378e+18,2.0,,3.0,J000015.00-003443.6,*,281640601518848.0,2002.8315,3.0,0.0,,,,SpIES,,,0.9921000000000006,2.9327000000000005,4.631999999999998,5.422999999999998,5.419729999999998,6.721906000000001,7.56861,7.550075,1.9405999999999999,3.6398999999999972,4.430899999999998,5.729806,6.576509999999999,6.557974999999999,1.6992999999999974,2.4902999999999977,4.635909999999999,4.617374999999999,0.7910000000000004,0.7877299999999998,2.0899060000000027,2.9366100000000017,2.9180750000000018,-0.0032700000000005502,1.2989060000000023,2.1456100000000013,2.1270750000000014,2.148880000000002,2.130345000000002,0.846703999999999,0.828168999999999,-0.018534999999999968,none
1,3.0,00:00:16.67,+00:05:22.5,24.349,23.3576,21.6781,20.413,19.743,19.708937,18.771132,18.017138,17.556839,3.6486630000000027,1.9691630000000018,0.9378049999999973,2.906967999999999,-999.0,-999.0,999.0,NIRES080218,?,J000016.67+000522.9,10.266,7.757,100001241018075.0,0000,0111,AAAB,0.482891,1.2376671729261614e+18,2.0,,3.0,J000016.66+000522.7,*,175992995971344.0,2004.9504,3.0,0.0,,,,SpIES,,,0.9913999999999987,2.6708999999999996,3.936,4.606000000000002,4.640063000000001,5.577867999999999,6.331862000000001,6.792161,1.6795000000000009,2.944600000000001,3.614600000000003,4.586468,5.340462000000002,5.800761000000001,1.2651000000000003,1.935100000000002,3.6609620000000014,4.1212610000000005,0.6700000000000017,0.7040630000000014,1.6418679999999988,2.395862000000001,2.856161,0.03406299999999973,0.9718679999999971,1.7258619999999993,2.1861609999999985,1.6917989999999996,2.1520979999999987,0.7539940000000023,1.2142930000000014,0.4602989999999991,?
2,4.0,00:00:32.18,+00:41:42.1,25.141,23.4021,21.9563,20.98,21.46,19.740633,18.790592,18.524115,18.444016,3.661467000000002,2.215667,0.9500409999999988,3.1657079999999986,-999.0,-999.0,-999.0,0,none,J000032.20+004142.3,12.092,8.491,100001241033410.0,0000,00nn,ABBB,0.404517,1.237657363759301e+18,2.0,,3.0,J000032.20+004142.2,,105622104178960.0,2001.9417,2.0,0.0,,,,SpIES,,,1.7388999999999974,3.1846999999999994,4.160999999999998,3.6809999999999974,5.400366999999999,6.350407999999998,6.616885,6.696983999999997,1.445800000000002,2.4221000000000004,1.9421,4.611508000000001,4.8779850000000025,4.9580839999999995,0.9762999999999984,0.49629999999999797,3.4321850000000005,3.5122839999999975,-0.4800000000000004,1.2393670000000014,2.1894080000000002,2.455885000000002,2.535983999999999,1.7193670000000019,2.6694080000000007,2.9358850000000025,3.0159839999999996,1.2165180000000007,1.2966169999999977,0.26647700000000185,0.3465759999999989,0.08009899999999703,none
3,5.0,00:00:35.67,+00:57:16.6,23.911,22.5714,21.4646,20.68,19.977,19.176252,18.133766,17.54958,17.5643,3.395147999999999,2.288347999999999,1.0424860000000002,3.3308339999999994,-999.0,-999.0,-999.0,0,none,J000035.67+005716.5,12.137,8.431,101501241003080.0,0000,11nn,AACU,0.045273,1.2376666500324398e+18,2.0,,3.0,J000035.67+005716.4,*,68987912448.0,2004.8439,2.0,0.0,,,,SpIES,,,1.3396000000000008,2.4464000000000006,3.2310000000000016,3.934000000000001,4.734748,5.777234,6.3614200000000025,6.346700000000002,1.1067999999999998,1.8914000000000009,2.5944000000000003,4.437633999999999,5.021820000000002,5.007100000000001,0.7846000000000011,1.4876000000000005,3.915020000000002,3.9003000000000014,0.7029999999999994,1.503747999999998,2.5462339999999983,3.130420000000001,3.1157000000000004,0.8007479999999987,1.843233999999999,2.4274200000000015,2.412700000000001,1.6266720000000028,1.6119520000000023,0.5841860000000025,0.569466000000002,-0.01472000000000051,none
4,6.0,00:00:46.11,-00:32:03.2,22.449,22.7765,21.1863,20.503,19.855,19.500998,18.531534,18.9445,18.713732,3.2755019999999995,1.685302,0.9694639999999985,2.6547659999999986,-999.0,-999.0,-999.0,0,none,J000046.13-003202.7,11.422,8.805,100001241001800.0,0000,0nnn,ABBC,0.624881,1.237657362148754e+18,2.0,,3.0,J000046.14-003202.7,*,68987912448.0,2001.9417,2.0,0.0,,,,SpIES,,,-0.327499999999997,1.2627000000000024,1.9460000000000015,2.594000000000001,2.9480020000000025,3.917466000000001,3.5045,3.7352680000000014,1.5901999999999994,2.2734999999999985,2.921499999999998,4.244965999999998,3.831999999999997,4.062767999999998,0.6832999999999991,1.3312999999999988,2.241799999999998,2.472567999999999,0.6479999999999997,1.002002000000001,1.9714659999999995,1.5584999999999987,1.7892679999999999,0.35400200000000126,1.3234659999999998,0.910499999999999,1.1412680000000002,0.5564979999999977,0.7872659999999989,-0.41296600000000083,-0.18219799999999964,0.2307680000000012,none
5,7.0,00:02:16.11,+00:37:17.9,23.735,22.115,22.3845,20.092,19.872,19.731567,18.790096,18.9538,18.83985,2.383433,2.652933000000001,0.941471,3.594404000000001,-999.0,-999.0,-999.0,0,none,J000216.09+003718.0,12.496,8.816,100001241030517.0,0000,1nnn,ABUU,0.322189,1.2376632779280228e+18,1.0,+,3.0,J000216.10+003717.6,*,35253360001296.0,2003.7408,3.0,0.0,,,,SpIES,,,1.620000000000001,1.3505000000000003,3.6430000000000007,3.8629999999999995,4.003433000000001,4.944904000000001,4.781199999999998,4.895150000000001,-0.26950000000000074,2.0229999999999997,2.2429999999999986,3.324904,3.1611999999999973,3.27515,2.2925000000000004,2.5124999999999993,3.430699999999998,3.5446500000000007,0.21999999999999886,0.36043300000000045,1.3019040000000004,1.1381999999999977,1.2521500000000003,0.14043300000000158,1.0819040000000015,0.9181999999999988,1.0321500000000015,0.7777669999999972,0.8917169999999999,-0.16370400000000274,-0.049754000000000076,0.11395000000000266,none
6,8.0,00:03:35.28,-00:51:11.5,22.819,22.7775,21.6727,20.731,20.094,19.68032,18.82614,18.495144,18.555216,3.0971800000000016,1.9923800000000007,0.8541799999999995,2.84656,-999.0,-999.0,-999.0,0,none,J000335.26-005111.2,11.926,8.706,1.5001601241038096e+16,0000,01nn,ABUC,0.288006,1.2376663810484472e+18,2.0,,3.0,J000335.28-005111.3,,143188035764480.0,2004.7702,1.0,0.0,,,,SpIES,,,0.041499999999999204,1.1463,2.0879999999999974,2.724999999999998,3.138680000000001,3.9928600000000003,4.323855999999999,4.263783999999998,1.104800000000001,2.046499999999998,2.6834999999999987,3.951360000000001,4.282356,4.222283999999998,0.9416999999999973,1.5786999999999978,3.177555999999999,3.1174839999999975,0.6370000000000005,1.0506800000000034,1.9048600000000029,2.235856000000002,2.175784,0.41368000000000293,1.2678600000000024,1.5988560000000014,1.5387839999999997,1.1851759999999985,1.1251039999999968,0.33099599999999896,0.2709239999999973,-0.06007200000000168,none
7,9.0,00:04:11.62,+00:13:14.3,25.754,23.269,21.3521,20.636,20.207,19.562054,18.58928,18.880589,18.582056,3.7069459999999985,1.7900460000000002,0.9727740000000011,2.7628200000000014,-999.0,-999.0,-999.0,0,none,J000411.61+001314.5,12.582,8.625,1.5100001241029014e+16,0000,0nnn,ABUU,0.252792,1.237646011620459e+18,2.0,,6.0,J000411.61+001314.5,,281543964623104.0,1998.7332,2.0,0.0,,,,SpIES,,,2.485000000000003,4.401900000000001,5.118000000000002,5.547000000000001,6.1919460000000015,7.164720000000003,6.873411000000001,7.171944,1.9168999999999983,2.632999999999999,3.0619999999999976,4.67972,4.388410999999998,4.686943999999997,0.7161000000000008,1.1450999999999993,2.4715109999999996,2.7700439999999986,0.4289999999999985,1.0739459999999994,2.0467200000000005,1.7554109999999987,2.0539439999999978,0.6449460000000009,1.617720000000002,1.3264110000000002,1.6249439999999993,0.6814649999999993,0.9799979999999984,-0.2913090000000018,0.007223999999997233,0.29853299999999905,none
8,10.0,00:11:39.70,-00:10:25.3,24.214,23.1258,22.328,20.975,20.115,19.460985,18.569656,17.359503,16.895254,3.664815000000001,2.8670149999999985,0.8913290000000025,3.758344000000001,-999.0,-999.0,-999.0,0,none,J001139.69-001025.1,11.124,7.952,3.0100001241012616e+16,0000,00n3,AABB,0.204084,1.2376458779465492e+18,2.0,,3.0,J001139.69-001025.1,*,281543964623104.0,1998.7168,3.0,0.0,,,,SpIES,,,1.088199999999997,1.8859999999999992,3.238999999999997,4.099,4.753014999999998,5.644344,6.8544969999999985,7.318745999999997,0.7978000000000023,2.1508000000000003,3.0108000000000033,4.556144000000003,5.766297000000002,6.230546,1.352999999999998,2.213000000000001,4.968496999999999,5.432745999999998,0.860000000000003,1.5140150000000006,2.405344000000003,3.6154970000000013,4.079746,0.6540149999999976,1.545344,2.7554969999999983,3.219745999999997,2.1014820000000007,2.5657309999999995,1.2101529999999983,1.674401999999997,0.4642489999999988,none
9,11.0,00:12:15.00,+00:48:25.7,25.035,23.9467,22.395,21.321,20.59,19.478487,18.68961,17.535511,17.013062,4.468212999999999,2.9165129999999984,0.7888770000000029,3.7053900000000013,-999.0,-999.0,-999.0,0,none,J001214.98+004825.7,10.566,7.839,3.0101501241002788e+16,0000,111n,AAAU,0.227402,1.2376602371075615e+18,2.0,,6.0,J001214.98+004825.6,*,68987912448.0,2002.8316,3.0,0.0,,,,SpIES,,,1.0883000000000003,2.6400000000000006,3.7139999999999986,4.445,5.556512999999999,6.345390000000002,7.4994890000000005,8.021937999999999,1.5517000000000003,2.6256999999999984,3.3567,5.257090000000002,6.411189,6.933637999999998,1.073999999999998,1.8049999999999997,4.859489,5.381937999999998,0.7310000000000016,1.8425130000000003,2.6313900000000032,3.785489000000002,4.307938,1.1115129999999986,1.9003900000000016,3.0544890000000002,3.5769379999999984,1.9429760000000016,2.4654249999999998,1.1540989999999987,1.6765479999999968,0.5224489999999982,none
